V1	V2	V3	gene	DAY0_H3K27ac	DAY4_H3K27ac	DAY0_H3K4me1	DAY4_H3K4me1	DAY0_H3K4me3	DAY4_H3K4me3	H3K27ac_FC	H3K4me1_FC	H3K4me3_FC	RNA_FC	padj
chr2	18698023	18700023	Spag6	5	2	2	3	5	5	-2.5	1.5	1	-2.47775092502641	0.0127489134330739
chr2	27008926	27010926	Cacfd1	5	10	4	13	17	15	2	3.25	-1.13333333333333	1.23748107976103	7.60241821592569e-10
chr2	73270925	73272925	Sp9	4	2	6	4	6	9	-2	-1.5	1.5	16.7811904663055	0.439006309443872
chr2	76647476	76649476	Pjvk	4	12	7	6	9	12	3	-1.16666666666667	1.33333333333333	3.3960067434747	0.281892317979127
chr2	84677402	84679402	Med19	5	17	6	10	17	16	3.4	1.66666666666667	-1.0625	-1.24195638885397	5.94389027441684e-08
chr2	164024450	164026450	Pabpc1l	6	4	6	8	6	4	-1.5	1.33333333333333	-1.5	-1.34172259860191	0.692264014020622
chr2	178429531	178431531	Cdh26	16	6	3	13	5	4	-2.66666666666667	4.33333333333333	-1.25	-4.03084497318663	1.79953550658525e-29
chr4	100477849	100479849	Ube2u	4	7	5	13	2	8	1.75	2.6	4	4.76232995799486	0.0613605651092941
chr4	155733800	155735800	Tmem240	6	9	6	5	9	8	1.5	-1.2	-1.125	-1.71844981848463	0.150117083072521
chr5	28316121	28318121	Rbm33	6	14	4	5	17	23	2.33333333333333	1.25	1.35294117647059	1.36514832392582	1.15576252543814e-06
chr5	31047312	31049312	Atraid	6	10	6	9	17	21	1.66666666666667	1.5	1.23529411764706	1.11338046949197	0.00581271904171415
chr5	76587698	76589698	Cep135	5	3	4	8	18	13	-1.66666666666667	2	-1.38461538461538	-1.20472729496451	0.0015077133316912
chr5	91961389	91963389	Thap6	9	14	6	5	22	18	1.55555555555556	-1.2	-1.22222222222222	-1.12826377098297	0.110553577034944
chr5	138224898	138226898	Nxpe5	9	10	4	12	2	9	1.11111111111111	3	4.5	-1.19917333652903	0.867930288997015
chr5	149527679	149529679	Wdr95	5	8	12	7	9	3	1.6	-1.71428571428571	-3	-1.39064483377927	0.498906224279313
chr5	149677230	149679230	B3glct	1	8	4	14	15	13	8	3.5	-1.15384615384615	-1.24788456363817	7.14229065624873e-12
chr5	30280388	30282388	Drc1	4	4	5	7	7	7	1	1.4	1	-1.07291342101654	0.952628622828438
chr6	40470352	40472352	Ssbp1	7	20	3	11	30	23	2.85714285714286	3.66666666666667	-1.30434782608696	-1.10677884343342	0.0112804993718203
chr6	113696050	113698050	Tatdn2	4	16	5	9	8	22	4	1.8	2.75	1.08384548641413	0.0388639213726909
chr6	115543664	115545664	Tsen2	2	20	9	14	18	14	10	1.55555555555556	-1.28571428571429	1.04038462163989	0.534561218304283
chr6	127560338	127562338	Cracr2a	6	10	8	9	12	13	1.66666666666667	1.125	1.08333333333333	1.715171141402	6.49775044448137e-32
chr6	133103909	133105909	Smim10l1	7	12	9	17	29	18	1.71428571428571	1.88888888888889	-1.61111111111111	-1.08143213404765	0.0792276760889744
chr6	134928092	134930092	Lockd	9	22	7	11	21	18	2.44444444444444	1.57142857142857	-1.16666666666667	-1.92750886721934	4.53417867880635e-13
chr6	134980718	134982718	Apold1	4	9	7	11	10	15	2.25	1.57142857142857	1.5	1.36337995967192	0.020514864311874
chr7	12926416	12928416	Rnf225	4	6	5	2	9	3	1.5	-2.5	-3	-1.71211881606304	0.0135137670712498
chr7	97370606	97372606	Alg8	1	10	9	4	11	16	10	-2.25	1.45454545454545	-1.31379729082478	1.03308423316515e-08
chr7	4689604	4691604	Brsk1	6	12	4	12	13	12	2	3	-1.08333333333333	1.93988762759762	2.06996786473081e-43
chr7	45782738	45784738	Lmtk3	3	5	9	7	7	2	1.66666666666667	-1.28571428571429	-3.5	10.392520904661	0.238883311614029
chr8	71907608	71909608	Zfp882	2	11	12	5	16	23	5.5	-2.4	1.4375	1.68197852312847	5.65106142007771e-09
chr8	88117769	88119769	Cnep1r1	2	17	6	11	18	15	8.5	1.83333333333333	-1.2	-1.05502723401395	0.126769137808426
chr8	120227456	120229456	Gse1	3	9	10	13	10	5	3	1.3	-2	1.16065365594	0.00928084729667692
chr8	124020508	124022508	Urb2	3	18	5	5	22	12	6	1	-1.83333333333333	-1.37686338183021	1.77293729698588e-16
chr8	104590451	104592451	Pdp2	6	13	10	7	18	16	2.16666666666667	-1.42857142857143	-1.125	1.16467953871272	0.0592783429183111
chr9	21525176	21527176	AB124611	5	14	7	11	11	11	2.8	1.57142857142857	1	4.31356246094107	8.4721930189558e-23
chr9	31279538	31281538	Prdm10	7	11	8	8	19	14	1.57142857142857	1	-1.35714285714286	1.11778541388195	0.0415739492632658
chr9	122804539	122806539	Tcaim	6	14	6	7	14	9	2.33333333333333	1.16666666666667	-1.55555555555556	1.08944596970792	0.342517364522266
chr9	122884685	122886685	Zkscan7	4	5	3	5	7	6	1.25	1.66666666666667	-1.16666666666667	-1.30419872004517	0.113323704431103
chr9	50767236	50769236	Fdxacb1	3	17	6	11	20	15	5.66666666666667	1.83333333333333	-1.33333333333333	1.44421886178767	0.0025455711667389
chr10	99106036	99108036	Poc1b	5	11	4	7	26	15	2.2	1.75	-1.73333333333333	-1.26012058610088	7.41779989451392e-09
chr10	116985314	116987314	Best3	8	19	12	14	8	7	2.375	1.16666666666667	-1.14285714285714	7.12252996851651	0.22538120336468
chr12	4768022	4770022	Pfn4	7	11	4	8	4	8	1.57142857142857	2	2	-1.59387025545272	0.0677491111534584
chr12	112677828	112679828	Zbtb42	5	8	2	10	10	11	1.6	5	1.1	2.25633739452664	3.18781670119962e-07
chr13	92843760	92845760	Mtx3	3	5	4	7	17	10	1.66666666666667	1.75	-1.7	-1.00484477490432	0.949328891649305
chr17	72835453	72837453	Ypel5	5	7	7	8	15	13	1.4	1.14285714285714	-1.15384615384615	1.4016869571584	1.85037265795631e-24
chr1	173349879	173351879	Aim2	1	1	3	5	4	2	1	1.66666666666667	-2	1.41407507735231	0.157999944657756
chr2	157086055	157088055	Tldc2	8	10	9	10	8	3	1.25	1.11111111111111	-2.66666666666667	1.33677883109649	0.863125144703724
chr4	43956401	43958401	Glipr2	6	13	7	9	13	12	2.16666666666667	1.28571428571429	-1.08333333333333	-1.51139953020131	4.40859082070714e-24
chr5	77003055	77005055	Arl9	3	11	13	11	8	4	3.66666666666667	-1.18181818181818	-2	-1.54860170643513	0.527954578810563
chr5	107401736	107403736	Ephx4	5	9	4	5	2	10	1.8	1.25	5	1.03045642193713	0.978867375294854
chr5	109418688	109420688	Vmn2r17	7	12	8	10	11	3	1.71428571428571	1.25	-3.66666666666667	1.4443784620445	0.632318934157288
chr7	18924888	18926888	Nova2	3	1	6	8	6	9	-3	1.33333333333333	1.5	1.10445778559733	0.675000596993186
chr7	27152714	27154714	Cyp2t4	3	6	7	7	5	2	2	1	-2.5	1.18392744885898	0.847933708421473
chr7	6285579	6287579	Zfp667	8	19	12	7	17	12	2.375	-1.71428571428571	-1.41666666666667	1.18783960030151	0.023521331421455
chr16	3846268	3848268	Zfp174	1	7	4	11	19	9	7	2.75	-2.11111111111111	-1.16469612509113	0.167524864154575
chr17	36941918	36943918	Rnf39	4	7	4	5	5	4	1.75	1.25	-1.25	-5.19355433473141	0.0496569808677924
chr17	35551128	35553128	Cdsn	4	19	14	20	16	11	4.75	1.42857142857143	-1.45454545454545	-2.01258696039724	7.86786939244171e-08
chr2	151493182	151495182	Nsfl1c	6	16	5	14	18	14	2.66666666666667	2.8	-1.28571428571429	1.05157418529663	0.0636600672222517
chr7	28266881	28268881	Eid2	10	7	2	9	3	12	-1.42857142857143	4.5	4	-1.14201679747286	0.0235067054777155
chr8	84207672	84209672	Mir27a	5	5	7	10	4	2	1	1.42857142857143	-2	1.33614344790824	0.823689522176122
chr6	42404434	42406434	Tas2r135	3	6	7	7	8	8	2	1	1	7.09007125342666	0.273618974991072
chr6	54815916	54817916	Znrf2	4	8	4	6	15	16	2	1.5	1.06666666666667	1.17833514563435	0.00212807612226179
chr15	57693665	57695665	Zhx2	5	5	4	6	21	14	1	1.5	-1.5	1.31299870711369	1.13657698976545e-07
chr1	88094062	88096062	Ugt1a7c	9	13	13	6	12	11	1.44444444444444	-2.16666666666667	-1.09090909090909	-1.29466834215734	0.127891455659581
chr1	88102252	88104252	Ugt1a6b	8	20	15	23	9	6	2.5	1.53333333333333	-1.5	-19.670642958766	0.0112539875417766
chr12	95691226	95693226	Flrt2	5	7	4	7	1	3	1.4	1.75	3	-2.6690353707034	1.12547870314763e-87
chr12	112975482	112977482	Btbd6	7	10	7	10	12	8	1.42857142857143	1.42857142857143	-1.5	1.09817863509335	0.0781962325984257
chr4	98792768	98794768	Kank4os	8	9	8	17	8	5	1.125	2.125	-1.6	-1.21007744657742	0.874042123146586
chr19	4838366	4840366	Ccdc87	4	8	6	11	18	15	2	1.83333333333333	-1.2	1.32861684004854	0.778939429941278
chr5	34914088	34916088	Msantd1	7	7	4	9	2	3	1	2.25	1.5	-1.23941870954751	0.616637674553195
chr3	84592574	84594574	Tigd4	4	4	9	5	3	7	1	-1.8	2.33333333333333	-1.24632665313624	0.91613689049927
chr5	110098969	110100969	Plcxd1	6	10	8	6	3	5	1.66666666666667	-1.33333333333333	1.66666666666667	1.06312685118706	0.798080432166702
chr8	13704889	13706889	Cfap97d2	9	11	11	12	7	5	1.22222222222222	1.09090909090909	-1.4	1.70461217260116	0.622675964711392
chr7	19227334	19229334	Opa3	5	17	1	5	17	13	3.4	5	-1.30769230769231	1.06446656648462	0.0513844499190204
chr3	88080971	88082971	Iqgap3	7	14	8	21	14	12	2	2.625	-1.16666666666667	-2.65005885424253	9.27419501222212e-95
chr15	89058734	89060734	Panx2	1	2	4	4	6	10	2	1	1.66666666666667	1.47815093881277	0.555187400167116
chr10	127513967	127515967	Ndufa4l2	6	7	8	7	8	10	1.16666666666667	-1.14285714285714	1.25	6.07880842750634	6.31026965437085e-15
chr13	49503810	49505810	Ecm2	11	17	20	12	11	13	1.54545454545455	-1.66666666666667	1.18181818181818	-1.06063159921415	0.473419793445287
chr10	82047123	82049123	Zfp873	9	14	3	16	26	18	1.55555555555556	5.33333333333333	-1.44444444444444	-1.15531742093415	0.0982975681483036
chr8	85079740	85081740	Wdr83os	2	10	7	13	17	13	5	1.85714285714286	-1.30769230769231	-1.26981334080988	4.55673236408392e-08
chr6	65524313	65526313	Tnip3	5	12	7	9	7	7	2.4	1.28571428571429	1	-2.09529824702929	0.567459342640602
chr11	89063729	89065729	Dgkeos	8	13	6	21	15	12	1.625	3.5	-1.25	-5.04684006409087	0.440416901669801
chr10	80870848	80872848	Tmprss9	5	9	8	12	12	3	1.8	1.5	-4	-1.35924634205135	0.771168844581536
chr10	88378132	88380132	Gnptab	9	10	11	11	25	31	1.11111111111111	1	1.24	-1.54199394344664	1.01381912523673e-28
chr10	127704170	127706170	Myo1a	5	8	12	10	4	7	1.6	-1.2	1.75	1.28290197853648	0.392424784654611
chr11	61955763	61957763	Specc1	9	7	7	11	10	14	-1.28571428571429	1.57142857142857	1.4	3.37847591319598	0
chr13	4227700	4229700	Akr1c19	3	4	3	6	6	3	1.33333333333333	2	-2	1.32140329046601	0.882665783659078
chr13	55463267	55465267	Prr7	4	13	7	5	16	13	3.25	-1.4	-1.23076923076923	-1.76669531686914	1.16080065448083e-11
chr14	79450835	79452835	Kbtbd6	3	4	5	6	6	7	1.33333333333333	1.2	1.16666666666667	1.42928130766831	0.62187074462574
chr17	28857411	28859411	Pnpla1	5	10	8	13	8	8	2	1.625	1	1.33062417984774	0.582980101735972
chr17	35600549	35602549	Sfta2	11	13	9	10	9	6	1.18181818181818	1.11111111111111	-1.5	1.3089581264401	0.867533493268412
chr19	6079033	6081033	Tmem262	7	13	7	8	16	11	1.85714285714286	1.14285714285714	-1.45454545454545	-2.41850673545427	0.579868851621575
chr19	55250938	55252938	Acsl5	6	17	4	9	11	5	2.83333333333333	2.25	-2.2	-1.18231391552468	1.07305021015018e-07
chr1	78309345	78311345	Sgpp2	4	4	4	4	7	6	1	1	-1.16666666666667	1.31525662295387	0.274768850536045
chr1	153873345	153875345	Teddm1b	1	3	6	6	10	9	3	1	-1.11111111111111	1.20870479679541	0.711563625085464
chr1	165762746	165764746	Creg1	5	8	3	10	12	11	1.6	3.33333333333333	-1.09090909090909	-1.01711855817254	0.860292005050214
chr2	45109707	45111707	Zeb2os	8	12	7	4	24	20	1.5	-1.75	-1.2	1.29152480148747	0.010909485866625
chr2	120026483	120028483	Jmjd7	10	7	5	11	18	15	-1.42857142857143	2.2	-1.2	-1.00041100540799	0.996967135006565
chr2	122635986	122637986	AA467197	6	3	4	6	7	7	-2	1.5	1	-1.19260152274885	0.77416737850781
chr3	157946239	157948239	Ankrd13c	3	8	2	9	20	12	2.66666666666667	4.5	-1.66666666666667	-1.02017789227415	0.745598630248459
chr4	34549937	34551937	Akirin2	9	9	5	8	18	19	1	1.6	1.05555555555556	1.03411402959476	0.272828746607175
chr4	46137613	46139613	Ncbp1	4	17	4	7	19	16	4.25	1.75	-1.1875	-1.10501741890132	0.000827706487881532
chr4	134314120	134316120	Trim63	5	6	8	10	6	1	1.2	1.25	-6	6.92219110230132	0.00299803859362951
chr4	146448023	146450023	Zfp992	6	11	15	11	21	10	1.83333333333333	-1.36363636363636	-2.1	-1.01034402207796	0.974642673897014
chr4	147552277	147554277	Zfp985	7	11	8	8	6	11	1.57142857142857	1	1.83333333333333	1.84781372433067	7.2184983300261e-07
chr5	29433664	29435664	Nom1	10	19	6	15	22	15	1.9	2.5	-1.46666666666667	-1.246387165402	0.0082185006233458
chr5	105414775	105416775	Lrrc8b	9	8	4	10	7	9	-1.125	2.5	1.28571428571429	-1.25188410131655	0.00729666480020672
chr5	108311609	108313609	Pigg	7	6	7	12	14	19	-1.16666666666667	1.71428571428571	1.35714285714286	1.09825049811958	0.0887185020517185
chr5	111416362	111418362	Mn1	5	6	4	8	17	10	1.2	2	-1.7	-3.66547670892029	1.55614379898266e-95
chr5	114567016	114569016	Fam222a	4	6	2	12	12	9	1.5	6	-1.33333333333333	-3.94161294733298	0.00353869910975806
chr5	139149223	139151223	Dnaaf5	4	9	1	7	16	15	2.25	7	-1.06666666666667	-1.03999550746535	0.50033972695068
chr6	39870461	39872461	Tmem178b	2	3	7	10	16	9	1.5	1.42857142857143	-1.77777777777778	1.07746122475158	0.913401521137312
chr6	57430691	57432691	Vmn1r20	8	12	13	10	15	20	1.5	-1.3	1.33333333333333	-1.54680168309832	0.592788419152695
chr7	16991708	16993708	Ccdc8	3	13	5	8	9	6	4.33333333333333	1.6	-1.5	1.1190255677105	0.00757715783388265
chr7	28276739	28278739	Eid2b	4	13	4	6	12	5	3.25	1.5	-2.4	-1.27381310601739	0.00507084235262652
chr7	68272839	68274839	Fam169b	9	12	15	15	17	11	1.33333333333333	1	-1.54545454545455	-4.76375311879131	1.69328940153447e-20
chr7	81570266	81572266	Whamm	3	3	3	2	12	9	1	-1.5	-1.33333333333333	1.15408412376598	0.0725716401070664
chr7	98488283	98490283	Lrrc32	5	9	5	5	7	3	1.8	1	-2.33333333333333	-1.18878414742596	0.203482250662605
chr7	104328471	104330471	Trim34b	5	9	3	14	8	10	1.8	4.66666666666667	1.25	1.45299346437001	0.736084706354452
chr7	118854760	118856760	Iqck	4	4	3	8	12	6	1	2.66666666666667	-2	1.11895484838142	0.671603718913225
chr7	119793006	119795006	Rexo5	3	13	9	10	12	8	4.33333333333333	1.11111111111111	-1.5	-1.31820447227689	0.15824183458322
chr7	128002949	128004949	Trim72	4	5	7	4	5	2	1.25	-1.75	-2.5	-2.57167248755238	0.274404482065784
chr8	94433391	94435391	Nlrc5	7	9	9	10	14	10	1.28571428571429	1.11111111111111	-1.4	1.24150795754581	0.783281113704106
chr9	108295853	108297853	Amt	2	6	1	4	7	4	3	4	-1.75	1.04071340836727	0.860901652327938
chr1	85599378	85601378	Sp140	15	30	16	21	34	25	2	1.3125	-1.36	-1.5170489671453	1.9936529874262e-08
chr1	74124541	74126541	Rufy4	6	6	1	5	6	3	1	5	-2	89.0953551784183	5.53736677250294e-09
chr6	123701670	123703670	Vmn2r23	10	11	14	12	10	7	1.1	-1.16666666666667	-1.42857142857143	1.06259529977734	0.876800935067132
chr17	29113145	29115145	Rab44	7	7	14	15	13	7	1	1.07142857142857	-1.85714285714286	6.34491091025078	0.148543853682136
chr4	43982483	43984483	Ccin	4	9	7	9	5	4	2.25	1.28571428571429	-1.25	7.35282201676275	2.18083547928023e-05
chr11	115563434	115565434	Nup85	10	12	3	11	15	12	1.2	3.66666666666667	-1.25	-1.38659973261375	4.06446503811826e-27
chr7	99858116	99860116	Xrra1	6	12	5	3	15	14	2	-1.66666666666667	-1.07142857142857	1.19344326915956	0.720937069310714
chr17	17063113	17065113	Zfp960	3	16	14	22	37	23	5.33333333333333	1.57142857142857	-1.60869565217391	1.04664612645668	0.492957626075596
chr17	26972167	26974167	Zbtb9	5	7	7	12	21	13	1.4	1.71428571428571	-1.61538461538462	1.22695312515898	1.09139055535612e-05
chr1	162216623	162218623	Dnm3os	6	23	5	8	25	14	3.83333333333333	1.6	-1.78571428571429	1.17188877811034	0.0310531398641069
chr7	87245096	87247096	Nox4	5	12	6	4	14	10	2.4	-1.5	-1.4	-1.97789589568276	1.145636063706e-16
chr10	81069035	81071035	Thop1	2	10	2	10	21	8	5	5	-2.625	-1.28125468227588	1.07464678485566e-15
chr10	82832951	82834951	Txnrd1	4	10	14	5	10	7	2.5	-2.8	-1.42857142857143	-1.11015412987387	3.60716998792999e-07
chr12	16809963	16811963	E2f6	5	10	11	15	16	12	2	1.36363636363636	-1.33333333333333	-1.87780345047434	1.22333802641271e-43
chr16	13108684	13110684	Ercc4	5	10	3	8	15	13	2	2.66666666666667	-1.15384615384615	1.20247271322193	0.00215391211143776
chr11	115602925	115604925	Mrps7	5	12	5	7	14	13	2.4	1.4	-1.07692307692308	-1.01496818722692	0.813919245154298
chr6	122504845	122506845	Mfap5	11	16	15	10	15	13	1.45454545454545	-1.5	-1.15384615384615	-2.82603522461953	1.01475357795522e-104
chr3	54360109	54362109	Postn	7	20	9	11	17	19	2.85714285714286	1.22222222222222	1.11764705882353	-2.65245903104561	3.24478344867476e-237
chr14	61137457	61139457	Sacs	3	3	4	12	1	7	1	3	7	-1.28640116062188	9.28861960348546e-10
chr10	78068302	78070302	Icosl	4	2	5	4	8	3	-2	-1.25	-2.66666666666667	-1.03004631177315	0.965290685354497
chr11	57800637	57802637	Sap30l	3	9	3	8	18	21	3	2.66666666666667	1.16666666666667	-1.00497508162066	0.947424125601246
chr8	56550090	56552090	Fbxo8	2	9	5	5	15	14	4.5	1	-1.07142857142857	1.37025213947362	2.16867549632333e-06
chr3	84814268	84816268	Fbxw7	7	8	6	11	14	11	1.14285714285714	1.83333333333333	-1.27272727272727	2.1268950627784	2.37673050510414e-122
chr7	28715804	28717804	Fbxo17	6	17	10	12	18	17	2.83333333333333	1.2	-1.05882352941176	1.08077755849701	0.187256344404493
chr18	84933782	84935782	Fbxo15	4	13	5	7	12	6	3.25	1.4	-2	-1.09675365300125	0.915509054965212
chr5	137568840	137570840	Tfr2	7	6	12	9	12	6	-1.16666666666667	-1.33333333333333	-2	-2.47849135199241	6.854520986392e-20
chr17	78199248	78201248	Crim1	2	7	2	4	12	19	3.5	2	1.58333333333333	-1.83739581390896	7.75324344679954e-63
chr8	3514384	3516384	Pnpla6	6	12	3	2	13	14	2	-1.5	1.07692307692308	1.22085542262471	0.0324620857853243
chr8	12756014	12758014	Atp11a	5	5	2	6	16	11	1	3	-1.45454545454545	-1.05920928354447	0.127671405558292
chr4	62558847	62560847	Rgs3	6	6	13	14	13	9	1	1.07692307692308	-1.44444444444444	1.57350481044358	2.27394185805867e-48
chr17	26201951	26203951	Rgs11	5	3	5	9	8	10	-1.66666666666667	1.8	1.25	1.71838551547042	0.129239593293303
chr8	70672248	70674248	Lsm4	3	19	12	12	16	8	6.33333333333333	1	-2	-1.05370786823022	0.270914935610141
chr1	36067400	36069400	Hs6st1	2	9	4	9	12	9	4.5	2.25	-1.33333333333333	-2.18083429874903	2.54318038912225e-116
chr8	105263648	105265648	Fbxl8	12	14	16	16	26	13	1.16666666666667	1	-2	1.34132580865836	4.36529657176551e-07
chr5	19226036	19228036	Magi2	2	1	1	2	3	1	-2	2	-3	1.14789780486787	0.610140336311783
chr16	96199450	96201450	Sh3bgr	2	15	15	14	9	12	7.5	-1.07142857142857	1.33333333333333	5.51812137323116	1.55141714551385e-11
chr9	98562721	98564721	Copb2	5	8	5	12	24	20	1.6	2.4	-1.2	1.93300762570826	1.9690005037782e-254
chr17	74337987	74339987	Spast	2	13	4	11	24	22	6.5	2.75	-1.09090909090909	1.25507450992304	6.04711558883575e-16
chr17	10839384	10841384	Prkn	4	8	5	2	7	9	2	-2.5	1.28571428571429	1.02709976324556	0.957027816002488
chr3	95123476	95125476	Tmod4	1	7	8	6	6	6	7	-1.33333333333333	1	3.74016391123704	0.0174954315222624
chr5	138279240	138281240	Stag3	2	3	2	4	7	3	1.5	2	-2.33333333333333	1.26721569393856	0.687516092711824
chr1	91297338	91299338	Scly	2	14	5	15	14	16	7	3	1.14285714285714	1.63162512908996	2.47647234764946e-23
chr5	110838979	110840979	Chek2	4	10	5	9	18	16	2.5	1.8	-1.125	-1.23683552974787	0.060178004665981
chr6	124511405	124513405	C1ra	15	21	15	16	24	21	1.4	1.06666666666667	-1.14285714285714	-1.38998112604824	2.30806105067636e-32
chr3	36551606	36553606	Exosc9	4	12	6	10	11	12	3	1.66666666666667	1.09090909090909	-1.0299961700559	0.56394098571979
chr4	148557429	148559429	Exosc10	6	11	5	6	10	11	1.83333333333333	1.2	1.1	-1.18798048830341	9.92070117481289e-07
chr7	3288080	3290080	Myadm	8	8	8	8	11	7	1	1	-1.57142857142857	-1.06747590965798	0.00394896005498333
chr11	70561881	70563881	Mink1	2	16	5	7	20	15	8	1.4	-1.33333333333333	-1.1633399090361	5.83765138333595e-05
chr14	101652967	101654967	Uchl3	3	9	4	12	13	10	3	3	-1.3	-1.17526514164918	0.000218844885733382
chr2	32598709	32600709	St6galnac6	7	9	7	16	11	7	1.28571428571429	2.28571428571429	-1.57142857142857	1.62178651003433	8.17802047046096e-67
chr7	45365163	45367163	Mtag2	3	3	2	4	6	6	1	2	1	1.19175397955667	0.834535689008661
chr9	65345104	65347104	Pdcd7	5	22	5	6	11	16	4.4	1.2	1.45454545454545	-1.08592908462838	0.2682607560906
chr12	101974988	101976988	Cpsf2	10	18	3	13	22	7	1.8	4.33333333333333	-3.14285714285714	-1.11990143204324	0.000169223697818192
chr16	32642874	32644874	Tnk2	9	18	14	13	20	17	2	-1.07692307692308	-1.17647058823529	-1.4876187563872	1.88729916354374e-12
chr13	55368732	55370732	Rgs14	7	6	8	13	7	13	-1.16666666666667	1.625	1.85714285714286	9.25154816689997	6.65820253342255e-19
chr17	20944311	20946311	Ppp2r1a	5	15	2	8	21	15	3	4	-1.4	-1.24055149067998	3.5701312713586e-26
chr17	35058035	35060035	Ddah2	7	11	3	10	13	10	1.57142857142857	3.33333333333333	-1.3	-1.28522924103418	2.41786994717137e-11
chr7	28824217	28826217	Ech1	11	21	12	14	15	17	1.90909090909091	1.16666666666667	1.13333333333333	1.16150912546123	3.34761827753838e-05
chr11	102392403	102394403	Rundc3a	5	3	6	15	5	10	-1.66666666666667	2.5	2	-1.74987559889575	1.6437761341294e-07
chr1	93684660	93686660	Bok	2	17	3	6	15	12	8.5	2	-1.25	1.3216679505514	1.98095993134092e-13
chr1	91178822	91180822	Ramp1	3	18	9	12	15	9	6	1.33333333333333	-1.66666666666667	17.3920699311667	0
chr4	21726701	21728701	Ccnc	3	14	3	13	27	10	4.66666666666667	4.33333333333333	-2.7	1.17992150199922	2.59539796024604e-05
chr2	52071832	52073832	Rif1	2	8	7	8	13	16	4	1.14285714285714	1.23076923076923	-1.36152699121657	1.81807003169337e-06
chr2	121169654	121171654	Tubgcp4	12	18	7	8	14	19	1.5	1.14285714285714	1.35714285714286	1.02335213411475	0.624530009940575
chr3	152209422	152211422	Fubp1	4	9	3	4	14	17	2.25	1.33333333333333	1.21428571428571	-1.26247571607523	7.01291489316356e-14
chr2	118813003	118815003	Knstrn	7	9	5	19	17	15	1.28571428571429	3.8	-1.13333333333333	-2.37812582235054	4.00693248136047e-95
chr19	4096182	4098182	Cdk2ap2	4	8	9	9	15	15	2	1	1	-1.3373184580451	5.3932830661877e-09
chr19	42517759	42519759	R3hcc1l	3	13	8	12	20	10	4.33333333333333	1.5	-2	1.17336699645741	0.00025252658372774
chr10	52416547	52418547	Nus1	7	11	10	10	19	15	1.57142857142857	1	-1.26666666666667	1.01079229547446	0.766768248386245
chr14	99098424	99100424	Pibf1	5	16	3	4	18	9	3.2	1.33333333333333	-2	-1.21290227277294	0.00239077265773407
chr14	65804837	65806837	Pbk	4	9	11	8	12	13	2.25	-1.375	1.08333333333333	-3.49056511181389	1.29819789202256e-117
chr17	35915566	35917566	Ppp1r10	6	21	1	9	30	18	3.5	9	-1.66666666666667	1.13115877071522	0.00173878374547897
chr5	115278666	115280666	Coq5	6	6	9	8	17	9	1	-1.125	-1.88888888888889	-1.0148360101727	0.826383851135632
chr8	35586798	35588798	Mfhas1	2	5	4	10	15	15	2.5	2.5	1	-1.32671307434903	1.80063940310927e-10
chr4	53825045	53827045	Tmem38b	2	5	11	14	20	16	2.5	1.27272727272727	-1.25	1.19252469468755	0.000812773989354868
chr8	18845277	18847277	Agpat5	2	19	1	6	11	15	9.5	6	1.36363636363636	1.0302976487563	0.468381366503499
chr3	145117589	145119589	Odf2l	7	12	5	7	25	15	1.71428571428571	1.4	-1.66666666666667	1.62047516093474	2.20109323402306e-12
chr4	32982037	32984037	Rragd	2	3	8	12	21	9	1.5	1.5	-2.33333333333333	2.77106752770889	1.60641803432783e-07
chr5	52833012	52835012	Anapc4	5	15	3	16	26	15	3	5.33333333333333	-1.73333333333333	1.18128665473837	1.58498231834447e-05
chr1	75191151	75193151	Ankzf1	6	19	6	6	15	18	3.16666666666667	1	1.2	1.54223297739043	3.38987905807296e-21
chr6	71706561	71708561	Reep1	7	3	1	1	9	3	-2.33333333333333	1	-3	-1.06460402915081	0.859634774899419
chr5	24099605	24101605	Klhl7	8	8	10	4	25	17	1	-2.5	-1.47058823529412	1.2140054861769	4.09681471110271e-08
chr5	92602041	92604041	Stbd1	5	2	11	3	14	5	-2.5	-3.66666666666667	-2.8	-1.90903674995705	1.22487631207861e-09
chr8	40510783	40512783	Vps37a	4	15	6	9	25	19	3.75	1.5	-1.31578947368421	1.17941674962542	3.14106539834615e-05
chr6	87103746	87105746	D6Ertd527e	10	23	21	21	11	8	2.3	1	-1.375	1.07221980226809	0.856632006456572
chr7	35333170	35335170	Rhpn2	6	4	8	7	8	13	-1.5	-1.14285714285714	1.625	9.68285813960163	1.00306748933438e-102
chr4	108164437	108166437	Echdc2	3	12	8	5	15	15	4	-1.6	1	-1.42955005107989	1.06200618349089e-08
chr7	138845079	138847079	Ppp2r2d	6	7	2	8	13	16	1.16666666666667	4	1.23076923076923	1.11270102952539	0.00588510568764721
chr6	52712729	52714729	Tax1bp1	2	9	11	13	31	21	4.5	1.18181818181818	-1.47619047619048	1.06532898723681	0.000123154618416036
chr11	78464697	78466697	Slc46a1	6	13	10	11	14	8	2.16666666666667	1.1	-1.75	1.53897370502596	9.23290735933763e-13
chr10	126977717	126979717	Ctdsp2	10	14	6	4	18	10	1.4	-1.5	-1.8	-1.03213345703818	0.18320196048585
chr1	190924112	190926112	Angel2	8	18	14	22	7	15	2.25	1.57142857142857	2.14285714285714	1.31730537458419	2.23718387913625e-09
