chr	promoter_starts	promoter_ends	gene	DAY0_H3K27ac	DAY4_H3K27ac	DAY0_H3K4me3	DAY4_H3K4me3	H3K27ac_FC	H3K4me3_FC	fragMEAN	log2FoldChange	padj
chr2	168229591	168231591	Dpm1	52	42	79	52	-1.23809523809524	-1.51923076923077	56.25	-0.499932646422535	0.0011187428140748
chr8	104533637	104535637	Nae1	50	36	75	64	-1.38888888888889	-1.171875	56.25	0.0393228228351447	0.697090625255478
chr11	69661642	69663642	Mpdu1	71	48	53	53	-1.47916666666667	0	56.25	0.47718230375543	2.10736035870236e-09
chr17	22360400	22362400	Zfp944	43	42	77	63	-1.02380952380952	-1.22222222222222	56.25	0.395356339187125	6.96399949012166e-11
chr11	86356602	86358602	Med13	55	44	68	58	-1.25	-1.17241379310345	56.25	-0.184275451965459	0.000134424088799865
chr19	32107211	32109211	Asah2	53	39	63	70	-1.35897435897436	1.11111111111111	56.25	-0.467907116163366	2.55391934238806e-16
chr1	171149603	171151603	Sdhc	55	56	48	66	1.01818181818182	1.375	56.25	-0.021064216916245	0.815259971592224
chr14	61681373	61683373	Dleu2	74	54	53	44	-1.37037037037037	-1.20454545454545	56.25	0.123585431528427	0.345916156962655
chr8	94036031	94038031	Nudt21	46	24	73	82	-1.91666666666667	1.12328767123288	56.25	-0.376051809093902	5.81032704724126e-10
chr15	58932738	58934738	Tatdn1	52	32	75	66	-1.625	-1.13636363636364	56.25	0.113971609174285	0.257489015211512
chr17	5439259	5441259	Tmem242	50	43	67	65	-1.16279069767442	-1.03076923076923	56.25	0.179951841756441	0.000900809001428015
chr11	5761376	5763376	Urgcp	61	42	63	59	-1.45238095238095	-1.06779661016949	56.25	-0.194164103127187	6.9453965089329e-05
chr16	56028739	56030739	Pcnp	52	44	62	67	-1.18181818181818	1.08064516129032	56.25	-0.063592505619947	0.0180378924327782
chr2	151038382	151040382	Ninl	59	40	71	55	-1.475	-1.29090909090909	56.25	-0.509503339681	0.000216036176895242
chr6	17305335	17307335	Cav1	66	44	62	52	-1.5	-1.19230769230769	56	-2.36151919652	7.19975232724116e-215
chr17	56255810	56257810	Fem1a	56	47	63	58	-1.19148936170213	-1.08620689655172	56	0.342510442384847	3.35235800329568e-16
chr10	34482399	34484399	Frk	51	40	70	63	-1.275	-1.11111111111111	56	0.407363867664918	1.12959631103912e-11
chr11	87591162	87593162	Mtmr4	66	38	63	57	-1.73684210526316	-1.10526315789474	56	-0.359839794049582	1.76956288075716e-12
chr8	92826291	92828291	Mmp2	81	50	48	45	-1.62	-1.06666666666667	56	0.229914815086145	2.32305272715671e-07
chr17	35088263	35090263	Abhd16a	62	39	74	49	-1.58974358974359	-1.51020408163265	56	0.348816994513008	8.38848954162779e-06
chr11	119912441	119914441	Chmp6	75	44	56	49	-1.70454545454545	-1.14285714285714	56	-0.0649202924034891	0.238883311614029
chr11	120097928	120099928	Ndufaf8	54	30	88	52	-1.8	-1.69230769230769	56	-0.400924313123367	0.00185159814257787
chr2	160644888	160646888	Top1	53	54	57	60	1.0188679245283	1.05263157894737	56	-0.131851135656147	0.00011402967982292
chr1	171410313	171412313	Usf1	49	44	67	64	-1.11363636363636	-1.046875	56	-0.236279286833443	0.00219819619701263
chr4	139351587	139353587	Emc1	60	38	72	54	-1.57894736842105	-1.33333333333333	56	-0.126153171104766	0.0384907978691757
chr12	76369266	76371266	Zbtb1	76	40	64	44	-1.9	-1.45454545454545	56	0.411729461710362	3.82611190110264e-22
chr6	112272758	112274758	Lmcd1	56	50	59	59	-1.12	0	56	-0.394356577288989	9.80450841779897e-13
chr19	42517759	42519759	R3hcc1l	48	37	68	71	-1.2972972972973	1.04411764705882	56	0.230654318702922	0.00025252658372774
chr11	96848870	96850870	Copz2	67	50	58	49	-1.34	-1.18367346938776	56	0.803830320068248	3.29657880520616e-58
chr3	116006462	116008462	Extl2	38	39	82	65	1.02631578947368	-1.26153846153846	56	-0.263481560441555	0.000714442141269852
chr5	76950307	76952307	Paics	60	36	76	52	-1.66666666666667	-1.46153846153846	56	-0.697634651097502	1.71752641477008e-129
chr2	70660576	70662576	Gorasp2	71	39	51	63	-1.82051282051282	1.23529411764706	56	0.734081651422189	3.53178492729681e-115
chr8	105826731	105828731	Tsnaxip1	52	39	58	75	-1.33333333333333	1.29310344827586	56	-0.0289479838515536	0.985357220507905
chr10	62919633	62921633	Slc25a16	55	35	71	63	-1.57142857142857	-1.12698412698413	56	0.562037745647235	2.39661145391347e-34
chr6	18847579	18849579	Lsm8	51	33	70	70	-1.54545454545455	0	56	-0.144399939872077	0.0307859573892016
chr8	79293937	79295937	Mmaa	51	38	77	58	-1.34210526315789	-1.32758620689655	56	0.380513127557354	0.00474164074696377
chr11	61266464	61268464	Aldh3a2	57	37	67	63	-1.54054054054054	-1.06349206349206	56	0.387713451182672	1.80364810469473e-22
chr15	77841175	77843175	Myh9	81	45	56	42	-1.8	-1.33333333333333	56	-0.388037313823028	1.20247708408553e-56
chr19	5963202	5965202	Pola2	51	36	69	68	-1.41666666666667	-1.01470588235294	56	-1.29899529672975	4.94514411063023e-149
chr7	127344589	127346589	Zfp768	79	45	52	48	-1.75555555555556	-1.08333333333333	56	-0.0824031104878546	0.242550872684597
chr1	177257203	177259203	Akt3	89	34	62	39	-2.61764705882353	-1.58974358974359	56	0.174579889190938	0.00336533722332129
chr7	5013697	5015697	Fiz1	62	48	69	45	-1.29166666666667	-1.53333333333333	56	-0.142008522276053	0.0287979515501132
chr7	16046921	16048921	Bicra	83	44	54	43	-1.88636363636364	-1.25581395348837	56	-0.367358280402343	4.15656182024551e-06
chr6	5255286	5257286	Pon3	54	48	58	64	-1.125	1.10344827586207	56	-0.135731270094938	0.00245206226885731
chr6	30895794	30897794	Copg2	53	54	58	59	1.0188679245283	1.01724137931034	56	-0.528076455300463	2.07963979400387e-25
chr7	45717002	45719002	Sphk2	61	32	63	68	-1.90625	1.07936507936508	56	-0.165238166564949	0.0431297837216658
chr14	50923893	50925893	Osgep	46	29	71	78	-1.58620689655172	1.09859154929577	56	-0.157269723202745	0.109327082511196
chr10	40257108	40259108	Gtf3c6	70	66	47	41	-1.06060606060606	-1.14634146341463	56	0.01535618894453	0.880253220626019
chr11	57517617	57519617	Fam114a2	51	31	76	66	-1.64516129032258	-1.15151515151515	56	0.588059609680664	1.49566729515028e-49
chr3	88335148	88337148	Tmem79	59	51	60	54	-1.15686274509804	-1.11111111111111	56	-0.455236475088199	0.34465655282777
chr1	127204015	127206015	Mgat5	47	36	74	66	-1.30555555555556	-1.12121212121212	55.75	1.29114448957929	4.37488730570405e-142
chr11	75678259	75680259	Crk	50	30	78	65	-1.66666666666667	-1.2	55.75	0.136741442793843	3.58193757302782e-06
chr16	14360558	14362558	Abcc1	65	46	68	44	-1.41304347826087	-1.54545454545455	55.75	-0.847325875265524	7.37099707771771e-84
chr19	32484769	32486769	Minpp1	48	33	86	56	-1.45454545454545	-1.53571428571429	55.75	-0.392548349210167	5.34248982617875e-32
chr10	59322296	59324296	P4ha1	68	44	53	58	-1.54545454545455	1.09433962264151	55.75	0.899675336870626	5.85481488201827e-49
chr17	28231700	28233700	Ppard	57	44	62	60	-1.29545454545455	-1.03333333333333	55.75	0.208095782723177	1.13445373264317e-05
chr2	129591835	129593835	Sirpa	65	31	87	40	-2.09677419354839	-2.175	55.75	-0.597467371019349	3.09877974112093e-12
chr16	52030225	52032225	Cblb	74	39	45	65	-1.8974358974359	1.44444444444444	55.75	0.156016132997751	0.0114109084403685
chr15	102099413	102101413	Tns2	78	55	50	40	-1.41818181818182	-1.25	55.75	-0.0229287372867761	0.815615400372473
chr17	73106985	73108985	Lclat1	46	52	63	62	1.1304347826087	-1.01612903225806	55.75	0.871556018472922	1.19864623217133e-98
chr4	133129505	133131505	Wasf2	66	48	61	48	-1.375	-1.27083333333333	55.75	-0.244500994489759	4.41460374940217e-08
chr9	92541223	92543223	Plod2	52	30	79	62	-1.73333333333333	-1.2741935483871	55.75	-0.286297232751098	3.79098412786481e-09
chr2	121955001	121957001	Ctdspl2	48	44	46	85	-1.09090909090909	1.84782608695652	55.75	-0.533812269008313	2.17253550874509e-31
chr17	21566008	21568008	Zfp948	34	43	74	72	1.26470588235294	-1.02777777777778	55.75	-0.276218446582421	7.65236314014551e-06
chr19	10040569	10042569	Fads3	57	28	73	65	-2.03571428571429	-1.12307692307692	55.75	0.180041392854475	4.85295119322712e-06
chr8	123372753	123374753	Tcf25	58	40	63	62	-1.45	-1.01612903225806	55.75	0.157284448253399	5.10327037932512e-06
chr17	25874074	25876074	Mettl26	46	35	78	64	-1.31428571428571	-1.21875	55.75	-0.246902314959094	0.00579044220857384
chr5	38037742	38039742	Stx18	44	36	76	67	-1.22222222222222	-1.13432835820896	55.75	0.704030167305693	1.25080167872293e-20
chr6	49072795	49074795	Malsu1	46	35	73	69	-1.31428571428571	-1.05797101449275	55.75	0.109234789587271	0.37871531797024
chr6	90368492	90370492	Zxdc	48	40	83	52	-1.2	-1.59615384615385	55.75	0.708825940272947	2.5289255822623e-21
chr19	42089470	42091470	Pi4k2a	64	49	67	43	-1.30612244897959	-1.55813953488372	55.75	0.00613570798879048	0.931748956444664
chr17	29078179	29080179	Trp53cor1	88	67	41	27	-1.3134328358209	-1.51851851851852	55.75	-1.54303153960733	5.24259585483153e-11
chr5	41707157	41709157	Rab28	67	41	57	58	-1.63414634146341	1.01754385964912	55.75	0.0316473468529346	0.636120367917408
chr2	13543668	13545668	Trdmt1	67	53	40	63	-1.26415094339623	1.575	55.75	-0.212152219704458	0.144737779706351
chr11	95075801	95077801	Itga3	59	29	74	61	-2.03448275862069	-1.21311475409836	55.75	-1.21447344853106	2.88977522234692e-96
chr12	87442839	87444839	Alkbh1	54	47	54	68	-1.14893617021277	1.25925925925926	55.75	0.525763094991406	4.17366722463098e-10
chr10	76468114	76470114	Ybey	41	39	66	77	-1.05128205128205	1.16666666666667	55.75	-0.371562024747259	0.00114398501501475
chr4	6990557	6992557	Tox	67	54	44	58	-1.24074074074074	1.31818181818182	55.75	-0.181756804410666	0.0276889118313793
chr2	64097038	64099038	Fign	58	32	66	67	-1.8125	1.01515151515152	55.75	0.566701477319913	0.00355343770430607
chr10	117223507	117225507	Yeats4	52	39	71	61	-1.33333333333333	-1.16393442622951	55.75	0.386681190271238	1.75540451095901e-14
chr7	141474132	141476132	Polr2l	81	42	61	39	-1.92857142857143	-1.56410256410256	55.75	-0.242706284097779	0.000402843973327375
chr10	34018624	34020624	Rwdd1	54	38	69	62	-1.42105263157895	-1.11290322580645	55.75	-0.11539022855413	0.0111960189497057
chr4	43030710	43032710	Stoml2	66	40	69	48	-1.65	-1.4375	55.75	-0.191973147970253	0.00565468935578893
chr8	31167764	31169764	Mak16	51	46	66	60	-1.10869565217391	-1.1	55.75	0.0108310843042798	0.870397913798213
chr4	35225175	35227175	C9orf72	52	27	61	83	-1.92592592592593	1.36065573770492	55.75	0.381666469055484	8.58473679157371e-12
chr17	86144175	86146175	Srbd1	43	49	64	67	1.13953488372093	1.046875	55.75	-0.113172932355112	0.0307864987483701
chr5	30646936	30648936	Mir5625	53	25	77	67	-2.12	-1.14925373134328	55.5	NA	NA
chr8	109777554	109779554	Ap1g1	57	31	68	66	-1.83870967741935	-1.03030303030303	55.5	0.0729454312338251	0.16173648299142
chr9	69452620	69454620	Anxa2	80	58	42	42	-1.37931034482759	0	55.5	0.243742097204759	2.71033978802914e-13
chr8	104533700	104535700	Car7	48	35	73	66	-1.37142857142857	-1.10606060606061	55.5	0.299182487971538	0.535411292915908
chr1	90997737	90999737	Lrrfip1	39	32	80	71	-1.21875	-1.12676056338028	55.5	1.13742783982287	0
chr10	80929073	80931073	Gadd45b	56	47	64	55	-1.19148936170213	-1.16363636363636	55.5	1.67975654783897	2.38860326359046e-269
chr11	57517664	57519664	Mfap3	49	32	76	65	-1.53125	-1.16923076923077	55.5	0.0846751097360485	0.0883100386033058
chr17	34603262	34605262	Agpat1	59	62	53	48	1.05084745762712	-1.10416666666667	55.5	-0.145149095199208	0.000403154292206163
chr19	5472954	5474954	Efemp2	79	55	42	46	-1.43636363636364	1.0952380952381	55.5	-0.261206489011133	4.27023390302151e-11
chr16	14162275	14164275	Nde1	73	40	58	51	-1.825	-1.13725490196078	55.5	-0.203153077671292	3.41861821863789e-05
chr7	119894861	119896861	Lyrm1	65	34	63	60	-1.91176470588235	-1.05	55.5	0.328411711576316	0.185349788040448
chr2	73311601	73313601	Scrn3	58	44	61	59	-1.31818181818182	-1.03389830508475	55.5	0.187285961327394	0.0197004771402346
chr5	30646933	30648933	Slc35f6	53	25	77	67	-2.12	-1.14925373134328	55.5	0.1385953278422	0.030555155500866
chr4	12088439	12090439	Rbm12b2	53	31	80	58	-1.70967741935484	-1.37931034482759	55.5	-0.148853401441981	0.0711678880348527
chr2	26638321	26640321	Snora17	64	41	47	70	-1.5609756097561	1.48936170212766	55.5	-1.79197232544993	0.0515520175857902
chr19	8879923	8881923	Uqcc3	47	52	54	69	1.1063829787234	1.27777777777778	55.5	0.0789393789389564	0.319114683360328
chr16	87494873	87496873	Cct8	48	36	74	64	-1.33333333333333	-1.15625	55.5	-0.229806604478175	1.48086298744089e-17
chr6	145249239	145251239	Kras	57	35	72	58	-1.62857142857143	-1.24137931034483	55.5	-0.0755827083660264	0.0888410695447663
chr14	20545573	20547573	Ppp3cb	76	57	48	41	-1.33333333333333	-1.17073170731707	55.5	-0.0688486804463467	0.241763332465934
chr11	120548727	120550727	Mcrip1	88	39	47	48	-2.25641025641026	1.02127659574468	55.5	0.0935973657840391	0.0700023893932837
chr11	100849724	100851724	Stat5b	59	34	81	48	-1.73529411764706	-1.6875	55.5	-0.261119658763077	7.61369881882197e-07
chr6	83774813	83776813	Tex261	62	33	86	41	-1.87878787878788	-2.09756097560976	55.5	0.0214832684057097	0.508027589920285
chr17	56182920	56184920	Mydgf	46	41	81	54	-1.1219512195122	-1.5	55.5	0.689361003149413	5.10447384122224e-84
chr4	9668344	9670344	Asph	79	53	50	40	-1.49056603773585	-1.25	55.5	-0.98514697259623	1.00066041292263e-167
chr15	76079924	76081924	Puf60	87	42	42	51	-2.07142857142857	1.21428571428571	55.5	0.118057243416744	0.00305823097464911
chr4	139351576	139353576	Mrto4	60	38	70	54	-1.57894736842105	-1.2962962962963	55.5	-0.255963219276133	8.80991237933591e-09
chr4	107252532	107254532	Lrrc42	58	38	80	46	-1.52631578947368	-1.73913043478261	55.5	0.338335299283334	1.74199315419152e-11
chr9	82974516	82976516	Phip	71	48	57	46	-1.47916666666667	-1.23913043478261	55.5	-0.455884123506622	2.89574652377379e-14
chr3	95433388	95435388	Arnt	36	38	63	84	1.05555555555556	1.33333333333333	55.25	0.0127475699161908	0.806841441668753
chr2	130905495	130907495	Atrn	36	35	84	66	-1.02857142857143	-1.27272727272727	55.25	-0.0618566261206568	0.0994132237888094
chr16	20515982	20517982	Dvl3	61	36	67	57	-1.69444444444444	-1.17543859649123	55.25	0.382870222028933	7.20457387936207e-28
chr6	135361545	135363545	Emp1	65	58	50	48	-1.12068965517241	-1.04166666666667	55.25	-0.311415474828728	9.20872143058745e-23
chr8	70526724	70528724	Fkbp8	51	45	48	77	-1.13333333333333	1.60416666666667	55.25	0.0119030698516864	0.82062829074498
chr13	15462235	15464235	Gli3	77	42	55	47	-1.83333333333333	-1.17021276595745	55.25	-0.770683682380758	2.78742591699668e-60
chr14	34309727	34311727	Glud1	64	37	63	57	-1.72972972972973	-1.10526315789474	55.25	0.301752746603199	2.748269916315e-18
chr6	97806052	97808052	Mitf	34	30	73	84	-1.13333333333333	1.15068493150685	55.25	0.826688531010612	3.0739576173747e-25
chr17	21007903	21009903	Zfp160	53	28	80	60	-1.89285714285714	-1.33333333333333	55.25	0.0812981494364916	0.326032781972069
chr4	137861237	137863237	Ece1	52	39	78	52	-1.33333333333333	-1.5	55.25	0.425502642730574	0.00435273988517926
chr19	40830279	40832279	Ccnj	59	17	74	71	-3.47058823529412	-1.04225352112676	55.25	0.0268888682823954	0.843296962702414
chr15	4025383	4027383	Oxct1	44	35	94	48	-1.25714285714286	-1.95833333333333	55.25	-0.00244584111691791	0.957041328666363
chr6	108782099	108784099	Arl8b	47	36	76	62	-1.30555555555556	-1.2258064516129	55.25	0.0804932139467028	0.11976518236434
chr2	168229622	168231622	Mocs3	53	41	78	49	-1.29268292682927	-1.59183673469388	55.25	0.0281851394617035	0.845281765025884
chr10	80701184	80703184	Izumo4	55	38	73	55	-1.44736842105263	-1.32727272727273	55.25	0.276889770967444	0.0245004870444331
chr1	75520529	75522529	Stk11ip	43	49	71	58	1.13953488372093	-1.22413793103448	55.25	0.569524324686969	5.60211959976585e-14
chr5	34948445	34950445	Rgs12	54	39	76	52	-1.38461538461538	-1.46153846153846	55.25	0.140348227314865	0.0736833113423746
chr4	106909701	106911701	Ssbp3	74	50	50	47	-1.48	-1.06382978723404	55.25	-0.861794309401109	1.19562735597278e-99
chr16	36874003	36876003	Eaf2	55	25	72	69	-2.2	-1.04347826086957	55.25	0.0794174656774491	0.880447522363011
chr1	170173957	170175957	Uap1	51	41	72	57	-1.24390243902439	-1.26315789473684	55.25	0.411809176173645	2.24244003412642e-20
chr2	10079510	10081510	Atp5c1	38	33	77	73	-1.15151515151515	-1.05479452054795	55.25	-0.122949421150989	5.17264950950846e-06
chr3	132683370	132685370	Aimp1	68	39	60	54	-1.74358974358974	-1.11111111111111	55.25	0.10094291639899	0.0631092810683185
chr5	147075586	147077586	Lnx2	52	23	80	66	-2.26086956521739	-1.21212121212121	55.25	0.221465805101716	0.0319785675993135
chr11	120823547	120825547	Fasn	88	43	44	46	-2.04651162790698	1.04545454545455	55.25	0.0288003919219396	0.682842530342005
chr2	128686391	128688391	Anapc1	59	43	64	55	-1.37209302325581	-1.16363636363636	55.25	0.174286798711673	0.00661098633159703
chr2	116066444	116068444	Meis2	54	46	57	64	-1.17391304347826	1.12280701754386	55.25	-1.02674391001666	1.54950294548762e-50
chr17	35234792	35236792	Nfkbil1	67	45	49	60	-1.48888888888889	1.22448979591837	55.25	-0.140187387230157	0.141961482017307
chr1	34842065	34844065	Fam168b	75	29	56	61	-2.58620689655172	1.08928571428571	55.25	-0.350235802861972	3.78710149362662e-20
chr7	30551296	30553296	Proser3	47	49	64	61	1.04255319148936	-1.04918032786885	55.25	-0.554553320424102	3.16211704779785e-05
chr6	39205789	39207789	Kdm7a	53	38	68	62	-1.39473684210526	-1.09677419354839	55.25	1.19303301184557	3.93222392946663e-141
chr19	6839636	6841636	Rps6ka4	66	37	74	44	-1.78378378378378	-1.68181818181818	55.25	0.100902116546353	0.0121536291123238
chr2	73311701	73313701	Cir1	59	45	58	59	-1.31111111111111	1.01724137931034	55.25	0.388764037338501	1.94270391847932e-16
chr16	78575708	78577708	D16Ertd472e	39	45	71	66	1.15384615384615	-1.07575757575758	55.25	0.0579380872910199	0.589002766324285
chr6	148211374	148213374	Ergic2	40	34	80	67	-1.17647058823529	-1.19402985074627	55.25	0.52408210313179	1.10810163012231e-19
chr4	43655466	43657466	Hint2	39	32	87	63	-1.21875	-1.38095238095238	55.25	0.0864776700381719	0.352658799046367
chr5	31696627	31698627	Rbks	54	41	66	60	-1.31707317073171	-1.1	55.25	1.29563030699995	2.45507816014021e-07
chr16	64850652	64852652	Zfp654	60	30	83	48	-2	-1.72916666666667	55.25	0.154244083212555	0.035594362311314
chr1	163402669	163404669	Gorab	62	49	61	49	-1.26530612244898	-1.24489795918367	55.25	0.279826741564846	2.58284105872313e-09
chr11	50209890	50211890	Mgat4b	45	56	56	63	1.24444444444444	1.125	55	-0.574425822025372	1.63676061911611e-42
chr11	23255041	23257041	Xpo1	56	29	73	62	-1.93103448275862	-1.17741935483871	55	-0.811977414595629	1.75111522942914e-60
chr2	166905040	166907040	Cse1l	61	34	73	52	-1.79411764705882	-1.40384615384615	55	-0.416502566296311	1.06757795028884e-23
chr2	71210706	71212706	Dync1i2	57	41	64	58	-1.39024390243902	-1.10344827586207	55	-0.172509820924262	2.16326517360886e-09
chr6	15719661	15721661	Mdfic	66	30	61	63	-2.2	1.0327868852459	55	0.0620258921238559	0.209385432448543
chr7	27472768	27474768	Sertad3	55	47	57	61	-1.17021276595745	1.07017543859649	55	0.32869450124212	0.000117264889668019
chr11	75587097	75589097	Pitpna	54	44	72	50	-1.22727272727273	-1.44	55	0.424084077260848	4.33279132059149e-40
chr2	26915367	26917367	Surf2	50	44	70	56	-1.13636363636364	-1.25	55	-0.553597643860292	2.9918983586866e-14
chr1	132416555	132418555	Dstyk	59	39	64	58	-1.51282051282051	-1.10344827586207	55	0.161695346180457	2.75613271466101e-06
chr15	100614349	100616349	Dazap2	61	38	58	63	-1.60526315789474	1.08620689655172	55	0.178054333938107	0.000185393387195857
chr16	18425384	18427384	Txnrd2	46	42	72	60	-1.0952380952381	-1.2	55	0.366210100619394	5.23203995532634e-05
chr16	45092454	45094454	Ccdc80	68	53	58	41	-1.28301886792453	-1.41463414634146	55	0.00662632576223812	0.911204486922356
chr17	12117704	12119704	Agpat4	44	49	63	64	1.11363636363636	1.01587301587302	55	0.168624240206612	0.0017150269531136
chr9	108515806	108517806	Qrich1	82	44	45	49	-1.86363636363636	1.08888888888889	55	0.0716312873976333	0.264956354834183
chr16	36040190	36042190	Wdr5b	52	37	71	60	-1.40540540540541	-1.18333333333333	55	0.0778962659715997	0.465964637883342
chr10	71346763	71348763	Ipmk	59	42	59	60	-1.4047619047619	1.01694915254237	55	0.00570945712075299	0.941359315895029
chr7	112022504	112024504	Usp47	70	53	53	44	-1.32075471698113	-1.20454545454545	55	0.0177913332665124	0.683193317403918
chr15	58888229	58890229	Rnf139	68	37	55	60	-1.83783783783784	1.09090909090909	55	-0.0817571682514319	0.0531348373089259
chr16	11253445	11255445	Mir1945	53	40	67	60	-1.325	-1.11666666666667	55	NA	NA
chr6	13676966	13678966	Bmt2	57	26	75	62	-2.19230769230769	-1.20967741935484	55	0.0283502079434663	0.666352467012306
chr7	47007411	47009411	Spty2d1	37	38	72	73	1.02702702702703	1.01388888888889	55	0.409275474501038	4.15914293083587e-18
chr10	41302260	41304260	Fig4	38	39	66	77	1.02631578947368	1.16666666666667	55	0.0883538028003639	0.0307390380677367
chr6	136940899	136942899	Arhgdib	74	68	37	41	-1.08823529411765	1.10810810810811	55	-0.334472210474345	9.31289769909952e-18
chr11	94473198	94475198	Cacna1g	70	49	50	51	-1.42857142857143	1.02	55	-0.950699829819279	3.91644446568385e-50
chr15	56693539	56695539	Has2	51	38	67	64	-1.34210526315789	-1.046875	55	-0.579412030016298	7.63750882673086e-13
chr16	14162351	14164351	Marf1	71	42	58	49	-1.69047619047619	-1.18367346938776	55	-0.0140143383257189	0.791084892563596
chr11	58903225	58905225	Zfp39	42	47	59	72	1.11904761904762	1.22033898305085	55	0.455669305523961	8.09304111120062e-10
chr2	34798912	34800912	Rabepk	58	39	75	48	-1.48717948717949	-1.5625	55	0.0298922285967173	0.803354683296769
chr15	73183935	73185935	Ago2	75	30	75	40	-2.5	-1.875	55	-0.285132065577425	1.85834971077018e-07
chr19	16779933	16781933	Vps13a	39	22	84	75	-1.77272727272727	-1.12	55	-0.625798151453061	5.75287023569613e-19
chr6	29608887	29610887	Tnpo3	59	37	76	48	-1.59459459459459	-1.58333333333333	55	-0.358695990453542	1.93266231559059e-31
chr12	4233294	4235294	Cenpo	55	51	61	53	-1.07843137254902	-1.15094339622642	55	-0.453981728974101	2.30841603499156e-06
chr11	109610432	109612432	Wipi1	70	38	47	65	-1.84210526315789	1.38297872340426	55	0.854937196520792	1.99975593346472e-121
chr15	38518266	38520266	Azin1	43	43	75	59	0	-1.27118644067797	55	0.143745870494459	0.00797016221767335
chr14	21051508	21053508	Ap3m1	53	45	79	43	-1.17777777777778	-1.83720930232558	55	0.956919532758821	1.36237232762307e-31
chr1	136345104	136347104	Camsap2	61	33	66	60	-1.84848484848485	-1.1	55	0.259370930814624	2.74783525045461e-13
chr1	16656042	16658042	Eloc	44	40	77	59	-1.1	-1.30508474576271	55	-0.266281702845295	2.14743185648903e-08
chr19	6076231	6078231	Vps51	52	53	56	59	1.01923076923077	1.05357142857143	55	0.532139873621223	1.36173169904048e-05
chr10	75516972	75518972	Gucd1	69	36	56	59	-1.91666666666667	1.05357142857143	55	0.200576592609856	0.0307606675533221
chr12	31653826	31655826	Dus4l	35	31	70	84	-1.12903225806452	1.2	55	0.0295125674375278	0.897340750032491
chr14	20640063	20642063	Usp54	62	40	53	65	-1.55	1.22641509433962	55	-0.11846907017734	0.241750771337389
chr1	55026481	55028481	Sf3b1	39	38	70	73	-1.02631578947368	1.04285714285714	55	0.237788922031084	7.10792990471272e-07
chr15	79027450	79029450	H1f0	64	40	62	53	-1.6	-1.16981132075472	54.75	0.128033495273291	1.77210620775996e-05
chr8	71271714	71273714	Myo9b	59	36	65	59	-1.63888888888889	-1.10169491525424	54.75	0.528670598448789	1.69276529165473e-35
chr12	16893895	16895895	Rock2	81	43	51	44	-1.88372093023256	-1.15909090909091	54.75	-0.113505062403116	0.00373747247368635
chr13	110394046	110396046	Plk2	65	34	55	65	-1.91176470588235	1.18181818181818	54.75	-1.14392376883696	1.99649100891584e-78
chr11	6545887	6547887	Ccm2	66	40	63	50	-1.65	-1.26	54.75	0.0909875186580408	0.0927181866148633
chr2	174109349	174111349	Npepl1	63	31	68	57	-2.03225806451613	-1.19298245614035	54.75	0.0984092778561325	0.0151022299508615
chr4	101646718	101648718	Leprot	44	46	80	49	1.04545454545455	-1.63265306122449	54.75	0.194946143197805	4.86532928350179e-07
chr6	147041764	147043764	Mrps35	64	25	78	52	-2.56	-1.5	54.75	-0.455262124049373	1.56344957694734e-10
chr7	90129213	90131213	Picalm	52	62	45	60	1.19230769230769	1.33333333333333	54.75	0.560940707627055	1.36443867342861e-49
chr4	22356543	22358543	Fbxl4	65	44	63	47	-1.47727272727273	-1.34042553191489	54.75	0.00588532196810813	0.939775971576946
chr6	125144241	125146241	Iffo1	61	40	73	45	-1.525	-1.62222222222222	54.75	0.157663743556729	0.0295724729093552
chr11	119490347	119492347	Endov	58	43	55	63	-1.34883720930233	1.14545454545455	54.75	0.0798350737415762	0.212532614463468
chr12	87442896	87444896	Slirp	53	46	55	65	-1.15217391304348	1.18181818181818	54.75	0.0305469206476817	0.820339953828591
chr11	67051670	67053670	Sco1	47	29	63	80	-1.62068965517241	1.26984126984127	54.75	-0.21262167552025	0.00309816797590089
chr5	65536233	65538233	Ube2k	52	53	58	56	1.01923076923077	-1.03571428571429	54.75	-0.203345148780044	4.26631042376688e-05
chr12	105683829	105685829	Gskip	68	43	55	53	-1.58139534883721	-1.0377358490566	54.75	0.250622362858273	0.000386229809530665
chr6	115600902	115602902	Mkrn2	46	31	73	69	-1.48387096774194	-1.05797101449275	54.75	0.0866135613594904	0.625649427034906
chr19	5087538	5089538	Yif1a	41	39	75	64	-1.05128205128205	-1.171875	54.75	0.550564523408023	1.61465340108453e-33
chr6	29432256	29434256	Flnc	67	46	57	49	-1.45652173913043	-1.16326530612245	54.75	-1.02469827780223	7.22748953783234e-96
chr4	139351609	139353609	Ubr4	60	37	72	50	-1.62162162162162	-1.44	54.75	-0.510275479465861	2.13725718006266e-16
chr2	125858109	125860109	Galk2	43	35	64	77	-1.22857142857143	1.203125	54.75	-0.164506311165677	0.000371218988658422
chr17	71525896	71527896	Spdya	63	36	64	56	-1.75	-1.14285714285714	54.75	-0.666438672620571	0.225035421754508
chr4	103113390	103115390	Mier1	64	46	54	55	-1.39130434782609	1.01851851851852	54.75	0.174613445287314	0.0352071607188699
chr7	28740992	28742992	Sars2	53	45	66	55	-1.17777777777778	-1.2	54.75	-0.100220589260089	0.324806344962879
