label	Ets1	p300	Ets1_Z	p300_Z	DIFF	DIFF_Z	DIFF_Q	Ets1_Q	p300_Q
chr2 93400000 93500000	240	142	0.799200714499272	1.02408480539703	0.00559953467	0.350861975311466	Q7	Q8	Q9
chr8 14200000 14300000	222	143	0.539421214996616	1.04994266899097	0.00562623911	0.351708221703238	Q7	Q8	Q9
chr2 63700000 63800000	222	135	0.539421214996616	0.843079760239425	0.00563086081	0.351854680380105	Q7	Q8	Q9
chr2 64400000 64500000	221	136	0.524989020579801	0.868937623833368	0.00563086081	0.351854680380105	Q7	Q8	Q9
chr2 65000000 65100000	242	147	0.828065103332901	1.15337412336674	0.00563086081	0.351854680380105	Q7	Q8	Q9
chr2 66700000 66800000	240	135	0.799200714499272	0.843079760239425	0.00563086081	0.351854680380105	Q7	Q8	Q9
chr2 6200000 6300000	237	149	0.755904131248829	1.20508985055463	0.00584188173	0.358541796535261	Q7	Q8	Q9
chr2 6500000 6600000	223	139	0.55385340941343	0.946511214615197	0.00584188173	0.358541796535261	Q7	Q8	Q9
chr2 12300000 12400000	240	148	0.799200714499272	1.17923198696069	0.00584188173	0.358541796535261	Q7	Q8	Q9
chr2 14900000 15000000	231	135	0.669310964747944	0.843079760239425	0.00584188173	0.358541796535261	Q7	Q8	Q9
chr2 16400000 16500000	235	137	0.727039742415201	0.894795487427311	0.00584188173	0.358541796535261	Q7	Q8	Q9
chr5 38900000 39000000	233	139	0.698175353581572	0.946511214615197	0.0058995752	0.360370065198312	Q7	Q8	Q9
chr5 41100000 41200000	235	137	0.727039742415201	0.894795487427311	0.0058995752	0.360370065198312	Q7	Q8	Q9
chr16 28400000 28500000	223	140	0.55385340941343	0.972369078209141	0.005914890553	0.360855398806317	Q7	Q8	Q9
chr5 38200000 38300000	235	149	0.727039742415201	1.20508985055463	0.00600600959	0.363742902018629	Q7	Q8	Q9
chr4 34200000 34300000	241	138	0.813632908916086	0.920653351021254	0.00607511342	0.365932757593025	Q7	Q8	Q9
chr2 70100000 70200000	240	135	0.799200714499272	0.843079760239425	0.0062992302	0.37303487306186	Q7	Q8	Q9
chr2 70400000 70500000	231	138	0.669310964747944	0.920653351021254	0.0062992302	0.37303487306186	Q7	Q8	Q9
chr2 38000000 38100000	236	150	0.741471936832015	1.23094771414857	0.006599379133	0.3825463981695	Q7	Q8	Q9
chr2 38700000 38800000	222	141	0.539421214996616	0.998226941803084	0.006599379133	0.3825463981695	Q7	Q8	Q9
chr12 89100000 89200000	224	136	0.568285603830244	0.868937623833368	0.006607493617	0.382803540907041	Q7	Q8	Q9
chr2 74000000 74100000	235	138	0.727039742415201	0.920653351021254	0.00668937149	0.385398197623011	Q7	Q8	Q9
chr2 74600000 74700000	234	136	0.712607547998387	0.868937623833368	0.00668937149	0.385398197623011	Q7	Q8	Q9
chr4 38200000 38300000	230	149	0.65487877033113	1.20508985055463	0.006852743006	0.390575335055338	Q7	Q8	Q9
chr2 21100000 21200000	240	144	0.799200714499272	1.07580053258491	0.00693488864	0.393178476943815	Q7	Q8	Q9
chr2 23100000 23200000	234	136	0.712607547998387	0.868937623833368	0.00693488864	0.393178476943815	Q7	Q8	Q9
chr2 24300000 24400000	237	150	0.755904131248829	1.23094771414857	0.00693488864	0.393178476943815	Q7	Q8	Q9
chr16 49900000 50000000	239	137	0.784768520082458	0.894795487427311	0.00728191179	0.40417541560079	Q7	Q8	Q9
chr2 74800000 74900000	239	146	0.784768520082458	1.1275162597728	0.007706508551	0.417630611701301	Q7	Q8	Q9
chr2 74900000 75000000	242	140	0.828065103332901	0.972369078209141	0.007706508551	0.417630611701301	Q7	Q8	Q9
chr2 41900000 42000000	236	136	0.741471936832015	0.868937623833368	0.00803390422	0.428005568209397	Q7	Q8	Q9
chr2 49800000 49900000	234	135	0.712607547998387	0.843079760239425	0.008152918512	0.431777053968855	Q7	Q8	Q9
chr2 50100000 50200000	236	150	0.741471936832015	1.23094771414857	0.008152918512	0.431777053968855	Q7	Q8	Q9
chr17 91800000 91900000	234	137	0.712607547998387	0.894795487427311	0.008947748333	0.456964695727831	Q7	Q8	Q9
chr16 52300000 52400000	235	137	0.727039742415201	0.894795487427311	0.00896900788	0.457638396990222	Q7	Q8	Q9
chr16 7000000 7100000	236	135	0.741471936832015	0.843079760239425	0.00941067589	0.471634569904675	Q7	Q8	Q9
chr10 3400000 3500000	239	138	0.784768520082458	0.920653351021254	0.009855997652	0.485746527851371	Q7	Q8	Q9
chr1 80200000 80300000	238	136	0.770336325665644	0.868937623833368	0.010686119393	0.512052547676268	Q7	Q8	Q9
chr8 44900000 45000000	242	143	0.828065103332901	1.04994266899097	-0.00544345993	0.000916635337736915	Q6	Q8	Q9
chr8 45000000 45100000	241	136	0.813632908916086	0.868937623833368	-0.00544345993	0.000916635337736915	Q6	Q8	Q9
chr8 45500000 45600000	239	143	0.784768520082458	1.04994266899097	-0.00544345993	0.000916635337736915	Q6	Q8	Q9
chr2 106500000 106600000	239	139	0.784768520082458	0.946511214615197	-0.005420549044	0.00164266646251615	Q6	Q8	Q9
chr16 6400000 6500000	227	140	0.611582187080687	0.972369078209141	-0.005141808885	0.0104757614008752	Q6	Q8	Q9
chr2 149400000 149500000	239	149	0.784768520082458	1.20508985055463	-0.005109961919	0.0114849711078148	Q6	Q8	Q9
chr2 149500000 149600000	223	137	0.55385340941343	0.894795487427311	-0.005109961919	0.0114849711078148	Q6	Q8	Q9
chr6 59200000 59300000	235	144	0.727039742415201	1.07580053258491	-0.00467287113	0.025336094856077	Q6	Q8	Q9
chr17 61900000 62000000	240	138	0.799200714499272	0.920653351021254	-0.00466141055	0.0256992732066663	Q6	Q8	Q9
chr10 101200000 101300000	232	144	0.683743159164758	1.07580053258491	-0.004508497857	0.0305449773183195	Q6	Q8	Q9
chr4 41000000 41100000	237	146	0.755904131248829	1.1275162597728	-0.00444510948	0.0325537138923325	Q6	Q8	Q9
chr4 41100000 41200000	225	146	0.582717798247058	1.1275162597728	-0.00444510948	0.0325537138923325	Q6	Q8	Q9
chr4 41400000 41500000	237	143	0.755904131248829	1.04994266899097	-0.00444510948	0.0325537138923325	Q6	Q8	Q9
chr2 147900000 148000000	233	148	0.698175353581572	1.17923198696069	-0.00401599512	0.0461520697765063	Q6	Q8	Q9
chr16 96500000 96600000	234	135	0.712607547998387	0.843079760239425	-0.00400919249	0.0463676407112295	Q6	Q8	Q9
chr2 135100000 135200000	241	139	0.813632908916086	0.946511214615197	-0.00393540086	0.0487060496286409	Q6	Q8	Q9
chr2 136000000 136100000	239	143	0.784768520082458	1.04994266899097	-0.00393540086	0.0487060496286409	Q6	Q8	Q9
chr2 110900000 111000000	237	149	0.755904131248829	1.20508985055463	-0.003887557562	0.0502221727266341	Q6	Q8	Q9
chr10 54300000 54400000	229	142	0.640446575914315	1.02408480539703	-0.003865001456	0.0509369611032085	Q6	Q8	Q9
chr2 123800000 123900000	237	137	0.755904131248829	0.894795487427311	-0.003790140927	0.0533092427369891	Q6	Q8	Q9
chr11 31600000 31700000	226	141	0.597149992663873	0.998226941803084	-0.00350515698999999	0.0623401989524815	Q6	Q8	Q9
chr11 32500000 32600000	237	135	0.755904131248829	0.843079760239425	-0.00350515698999999	0.0623401989524815	Q6	Q8	Q9
chr2 140400000 140500000	230	141	0.65487877033113	0.998226941803084	-0.003497027869	0.0625978055270632	Q6	Q8	Q9
chr2 140500000 140600000	233	137	0.698175353581572	0.894795487427311	-0.003497027869	0.0625978055270632	Q6	Q8	Q9
chr16 6300000 6400000	236	140	0.741471936832015	0.972369078209141	-0.003227485252	0.0711394363219813	Q6	Q8	Q9
chr11 57400000 57500000	231	149	0.669310964747944	1.20508985055463	-0.00272676954	0.0870067926336494	Q6	Q8	Q9
chr11 63000000 63100000	229	139	0.640446575914315	0.946511214615197	-0.00272676954	0.0870067926336494	Q6	Q8	Q9
chr15 72200000 72300000	238	142	0.770336325665644	1.02408480539703	-0.002726281131	0.087022269998236	Q6	Q8	Q9
chr17 74200000 74300000	223	140	0.55385340941343	0.972369078209141	-0.00272598525	0.0870316462753137	Q6	Q8	Q9
chr3 148800000 148900000	229	136	0.640446575914315	0.868937623833368	-0.00269775258	0.087926321285072	Q6	Q8	Q9
chr10 50900000 51000000	235	147	0.727039742415201	1.15337412336674	-0.002664150053	0.0889911635820149	Q6	Q8	Q9
chr10 19200000 19300000	230	139	0.65487877033113	0.946511214615197	-0.002662020496	0.0890586478628057	Q6	Q8	Q9
chr2 109400000 109500000	242	143	0.828065103332901	1.04994266899097	-0.00265530576	0.0892714334936484	Q6	Q8	Q9
chr2 150900000 151000000	226	141	0.597149992663873	0.998226941803084	-0.00256693616	0.0920718088298224	Q6	Q8	Q9
chr3 136700000 136800000	223	142	0.55385340941343	1.02408480539703	-0.00253441336	0.0931024352780956	Q6	Q8	Q9
chr10 28000000 28100000	227	137	0.611582187080687	0.894795487427311	-0.002450747099	0.0957537648504179	Q6	Q8	Q9
chr16 66300000 66400000	230	138	0.65487877033113	0.920653351021254	-0.002385967852	0.0978065771930643	Q6	Q8	Q9
chr2 146700000 146800000	229	143	0.640446575914315	1.04994266899097	-0.002351149521	0.0989099475305914	Q6	Q8	Q9
chr17 78400000 78500000	236	135	0.741471936832015	0.843079760239425	-0.00231686199	0.0999964971602231	Q6	Q8	Q9
chr17 79500000 79600000	242	147	0.828065103332901	1.15337412336674	-0.00231686199	0.0999964971602231	Q6	Q8	Q9
chr16 33900000 34000000	239	136	0.784768520082458	0.868937623833368	-0.00226850767	0.101528814214113	Q6	Q8	Q9
chr16 38600000 38700000	221	135	0.524989020579801	0.843079760239425	-0.00226850767	0.101528814214113	Q6	Q8	Q9
chr10 65200000 65300000	237	145	0.755904131248829	1.10165839617886	-0.002226440254	0.102861903355888	Q6	Q8	Q9
chr11 46100000 46200000	234	142	0.712607547998387	1.02408480539703	-0.00211816782	0.106292986599007	Q6	Q8	Q9
chr11 46200000 46300000	226	148	0.597149992663873	1.17923198696069	-0.00211816782	0.106292986599007	Q6	Q8	Q9
chr2 144500000 144600000	231	141	0.669310964747944	0.998226941803084	-0.00198645168	0.110466985687291	Q6	Q8	Q9
chr2 145000000 145100000	221	139	0.524989020579801	0.946511214615197	-0.00198645168	0.110466985687291	Q6	Q8	Q9
chr2 145200000 145300000	233	139	0.698175353581572	0.946511214615197	-0.00198645168	0.110466985687291	Q6	Q8	Q9
chr2 145800000 145900000	239	145	0.784768520082458	1.10165839617886	-0.00198645168	0.110466985687291	Q6	Q8	Q9
chr2 146100000 146200000	225	135	0.582717798247058	0.843079760239425	-0.00198645168	0.110466985687291	Q6	Q8	Q9
chr10 101800000 101900000	237	143	0.755904131248829	1.04994266899097	-0.00185235768	0.114716337617468	Q6	Q8	Q9
chr10 105100000 105200000	222	140	0.539421214996616	0.972369078209141	-0.00185235768	0.114716337617468	Q6	Q8	Q9
chr10 106400000 106500000	221	140	0.524989020579801	0.972369078209141	-0.00185235768	0.114716337617468	Q6	Q8	Q9
chr10 106900000 107000000	237	140	0.755904131248829	0.972369078209141	-0.00185235768	0.114716337617468	Q6	Q8	Q9
chr10 109000000 109100000	240	142	0.799200714499272	1.02408480539703	-0.00185235768	0.114716337617468	Q6	Q8	Q9
chr17 83100000 83200000	231	145	0.669310964747944	1.10165839617886	-0.0017721472	0.117258155730197	Q6	Q8	Q9
chr17 83300000 83400000	237	135	0.755904131248829	0.843079760239425	-0.0017721472	0.117258155730197	Q6	Q8	Q9
chr17 83900000 84000000	236	151	0.741471936832015	1.25680557774252	-0.0017721472	0.117258155730197	Q6	Q8	Q9
chr17 84300000 84400000	235	143	0.727039742415201	1.04994266899097	-0.0017721472	0.117258155730197	Q6	Q8	Q9
chr17 84600000 84700000	228	136	0.626014381497501	0.868937623833368	-0.0017721472	0.117258155730197	Q6	Q8	Q9
chr17 86100000 86200000	238	148	0.770336325665644	1.17923198696069	-0.0017721472	0.117258155730197	Q6	Q8	Q9
chr17 86400000 86500000	226	147	0.597149992663873	1.15337412336674	-0.0017721472	0.117258155730197	Q6	Q8	Q9
chr17 86500000 86600000	240	142	0.799200714499272	1.02408480539703	-0.0017721472	0.117258155730197	Q6	Q8	Q9
chr17 88000000 88100000	221	139	0.524989020579801	0.946511214615197	-0.0017721472	0.117258155730197	Q6	Q8	Q9
chr2 105600000 105700000	240	135	0.799200714499272	0.843079760239425	-0.001672547673	0.120414400172917	Q6	Q8	Q9
chr10 75500000 75600000	224	135	0.568285603830244	0.843079760239425	-0.00166889797	0.120530056894975	Q6	Q8	Q9
chr10 82800000 82900000	241	145	0.813632908916086	1.10165839617886	-0.00166889797	0.120530056894975	Q6	Q8	Q9
chr10 84500000 84600000	242	147	0.828065103332901	1.15337412336674	-0.00166889797	0.120530056894975	Q6	Q8	Q9
chr10 9300000 9400000	235	140	0.727039742415201	0.972369078209141	-0.001628616298	0.121806556967044	Q6	Q8	Q9
chr11 64900000 65000000	241	150	0.813632908916086	1.23094771414857	-0.00135836409	0.130370674240741	Q6	Q8	Q9
chr11 65100000 65200000	241	151	0.813632908916086	1.25680557774252	-0.00135836409	0.130370674240741	Q6	Q8	Q9
chr11 65600000 65700000	236	136	0.741471936832015	0.868937623833368	-0.00135836409	0.130370674240741	Q6	Q8	Q9
chr11 65800000 65900000	236	143	0.741471936832015	1.04994266899097	-0.00135836409	0.130370674240741	Q6	Q8	Q9
chr2 173200000 173300000	226	148	0.597149992663873	1.17923198696069	-0.00130509637	0.132058693755396	Q6	Q8	Q9
chr2 174200000 174300000	233	144	0.698175353581572	1.07580053258491	-0.00130509637	0.132058693755396	Q6	Q8	Q9
chr2 174700000 174800000	235	151	0.727039742415201	1.25680557774252	-0.00130509637	0.132058693755396	Q6	Q8	Q9
chr17 71700000 71800000	235	139	0.727039742415201	0.946511214615197	-0.00116565211	0.136477591956531	Q6	Q8	Q9
chr17 71800000 71900000	231	144	0.669310964747944	1.07580053258491	-0.00116565211	0.136477591956531	Q6	Q8	Q9
chr8 33800000 33900000	225	151	0.582717798247058	1.25680557774252	-0.00108778279	0.138945220226577	Q6	Q8	Q9
chr8 34800000 34900000	238	139	0.770336325665644	0.946511214615197	-0.00108778279	0.138945220226577	Q6	Q8	Q9
chr8 35200000 35300000	234	142	0.712607547998387	1.02408480539703	-0.00108778279	0.138945220226577	Q6	Q8	Q9
chr8 35400000 35500000	227	140	0.611582187080687	0.972369078209141	-0.00108778279	0.138945220226577	Q6	Q8	Q9
chr8 35900000 36000000	234	142	0.712607547998387	1.02408480539703	-0.00108778279	0.138945220226577	Q6	Q8	Q9
chr8 37000000 37100000	239	136	0.784768520082458	0.868937623833368	-0.00108778279	0.138945220226577	Q6	Q8	Q9
chr10 37100000 37200000	236	149	0.741471936832015	1.20508985055463	-0.00100151743	0.141678913561278	Q6	Q8	Q9
chr10 39400000 39500000	236	136	0.741471936832015	0.868937623833368	-0.00100151743	0.141678913561278	Q6	Q8	Q9
chr10 43900000 44000000	228	137	0.626014381497501	0.894795487427311	-0.00100151743	0.141678913561278	Q6	Q8	Q9
chr16 12800000 12900000	227	139	0.611582187080687	0.946511214615197	-0.000997293619999999	0.141812763361986	Q6	Q8	Q9
chr16 14100000 14200000	236	139	0.741471936832015	0.946511214615197	-0.000997293619999999	0.141812763361986	Q6	Q8	Q9
chr10 8000000 8100000	235	136	0.727039742415201	0.868937623833368	-0.000904133519999999	0.144764946537597	Q6	Q8	Q9
chr11 18500000 18600000	242	149	0.828065103332901	1.20508985055463	-0.000811797538	0.147691013948044	Q6	Q8	Q9
chr11 82400000 82500000	226	137	0.597149992663873	0.894795487427311	-0.000805041989999998	0.147905092884709	Q6	Q8	Q9
chr11 85900000 86000000	238	135	0.770336325665644	0.843079760239425	-0.000805041989999998	0.147905092884709	Q6	Q8	Q9
chr11 86300000 86400000	229	145	0.640446575914315	1.10165839617886	-0.000805041989999998	0.147905092884709	Q6	Q8	Q9
chr11 89200000 89300000	221	147	0.524989020579801	1.15337412336674	-0.000805041989999998	0.147905092884709	Q6	Q8	Q9
chr11 90400000 90500000	235	137	0.727039742415201	0.894795487427311	-0.000805041989999998	0.147905092884709	Q6	Q8	Q9
chr11 91500000 91600000	239	138	0.784768520082458	0.920653351021254	-0.000805041989999998	0.147905092884709	Q6	Q8	Q9
chr11 91600000 91700000	221	149	0.524989020579801	1.20508985055463	-0.000805041989999998	0.147905092884709	Q6	Q8	Q9
chr11 91800000 91900000	228	142	0.626014381497501	1.02408480539703	-0.000805041989999998	0.147905092884709	Q6	Q8	Q9
chr11 92300000 92400000	239	135	0.784768520082458	0.843079760239425	-0.000805041989999998	0.147905092884709	Q6	Q8	Q9
chr10 94000000 94100000	242	138	0.828065103332901	0.920653351021254	-0.000710861	0.150889627402603	Q6	Q8	Q9
chr10 94600000 94700000	241	135	0.813632908916086	0.843079760239425	-0.000710861	0.150889627402603	Q6	Q8	Q9
chr10 95400000 95500000	228	136	0.626014381497501	0.868937623833368	-0.000710861	0.150889627402603	Q6	Q8	Q9
chr10 96600000 96700000	229	145	0.640446575914315	1.10165839617886	-0.000710861	0.150889627402603	Q6	Q8	Q9
chr10 97500000 97600000	226	139	0.597149992663873	0.946511214615197	-0.000710861	0.150889627402603	Q6	Q8	Q9
chr16 39600000 39700000	239	141	0.784768520082458	0.998226941803084	-0.000574236573	0.155219166923996	Q6	Q8	Q9
chr16 41600000 41700000	232	136	0.683743159164758	0.868937623833368	-0.000574236573	0.155219166923996	Q6	Q8	Q9
chr10 110900000 111000000	223	145	0.55385340941343	1.10165839617886	-0.000553416439999999	0.155878943441589	Q6	Q8	Q9
chr10 113200000 113300000	224	145	0.568285603830244	1.10165839617886	-0.000553416439999999	0.155878943441589	Q6	Q8	Q9
chr10 114500000 114600000	241	135	0.813632908916086	0.843079760239425	-0.000553416439999999	0.155878943441589	Q6	Q8	Q9
chr10 114800000 114900000	237	137	0.755904131248829	0.894795487427311	-0.000553416439999999	0.155878943441589	Q6	Q8	Q9
chr10 115500000 115600000	242	145	0.828065103332901	1.10165839617886	-0.000553416439999999	0.155878943441589	Q6	Q8	Q9
chr10 115800000 115900000	223	144	0.55385340941343	1.07580053258491	-0.000553416439999999	0.155878943441589	Q6	Q8	Q9
chr10 118800000 118900000	239	139	0.784768520082458	0.946511214615197	-0.000553416439999999	0.155878943441589	Q6	Q8	Q9
chr17 65800000 65900000	224	137	0.568285603830244	0.894795487427311	-0.000524286610000001	0.15680204887014	Q6	Q8	Q9
chr17 66400000 66500000	234	141	0.712607547998387	0.998226941803084	-0.000524286610000001	0.15680204887014	Q6	Q8	Q9
chr17 67800000 67900000	238	138	0.770336325665644	0.920653351021254	-0.000524286610000001	0.15680204887014	Q6	Q8	Q9
chr10 72300000 72400000	225	137	0.582717798247058	0.894795487427311	-0.000434535535	0.159646202253488	Q6	Q8	Q9
chr16 72700000 72800000	231	143	0.669310964747944	1.04994266899097	-0.000182803541	0.167623425951723	Q6	Q8	Q9
chr16 73900000 74000000	241	136	0.813632908916086	0.868937623833368	-0.000182803541	0.167623425951723	Q6	Q8	Q9
chr16 74100000 74200000	240	138	0.799200714499272	0.920653351021254	-0.000182803541	0.167623425951723	Q6	Q8	Q9
chr16 74700000 74800000	238	138	0.770336325665644	0.920653351021254	-0.000182803541	0.167623425951723	Q6	Q8	Q9
chr16 84200000 84300000	221	151	0.524989020579801	1.25680557774252	7.88703779999993e-05	0.175915702808103	Q6	Q8	Q9
chr2 96800000 96900000	226	136	0.597149992663873	0.868937623833368	0.00018100612	0.179152318260008	Q6	Q8	Q9
chr2 101900000 102000000	228	139	0.626014381497501	0.946511214615197	0.00018239431	0.179196309101178	Q6	Q8	Q9
chr2 102500000 102600000	231	136	0.669310964747944	0.868937623833368	0.00018239431	0.179196309101178	Q6	Q8	Q9
chr2 103700000 103800000	222	138	0.539421214996616	0.920653351021254	0.00018239431	0.179196309101178	Q6	Q8	Q9
chr2 104400000 104500000	226	138	0.597149992663873	0.920653351021254	0.00018239431	0.179196309101178	Q6	Q8	Q9
chr11 67000000 67100000	242	150	0.828065103332901	1.23094771414857	0.000265896910000001	0.181842452362508	Q6	Q8	Q9
chr11 68000000 68100000	241	139	0.813632908916086	0.946511214615197	0.000265896910000001	0.181842452362508	Q6	Q8	Q9
chr11 68400000 68500000	226	141	0.597149992663873	0.998226941803084	0.000265896910000001	0.181842452362508	Q6	Q8	Q9
chr10 21100000 21200000	225	135	0.582717798247058	0.843079760239425	0.000524131150000001	0.190025728021237	Q6	Q8	Q9
chr10 21800000 21900000	235	139	0.727039742415201	0.946511214615197	0.000524131150000001	0.190025728021237	Q6	Q8	Q9
chr5 102700000 102800000	235	138	0.727039742415201	0.920653351021254	0.000605877730000003	0.192616224147151	Q6	Q8	Q9
chr5 127600000 127700000	241	141	0.813632908916086	0.998226941803084	0.000605877730000003	0.192616224147151	Q6	Q8	Q9
chr5 129100000 129200000	237	151	0.755904131248829	1.25680557774252	0.000605877730000003	0.192616224147151	Q6	Q8	Q9
chr5 141900000 142000000	224	147	0.568285603830244	1.15337412336674	0.000605877730000003	0.192616224147151	Q6	Q8	Q9
chr5 144200000 144300000	238	142	0.770336325665644	1.02408480539703	0.000605877730000003	0.192616224147151	Q6	Q8	Q9
chr5 146600000 146700000	223	135	0.55385340941343	0.843079760239425	0.000605877730000003	0.192616224147151	Q6	Q8	Q9
chr5 148100000 148200000	222	142	0.539421214996616	1.02408480539703	0.000605877730000003	0.192616224147151	Q6	Q8	Q9
chr5 148500000 148600000	222	137	0.539421214996616	0.894795487427311	0.000605877730000003	0.192616224147151	Q6	Q8	Q9
chr5 150300000 150400000	227	135	0.611582187080687	0.843079760239425	0.000605877730000003	0.192616224147151	Q6	Q8	Q9
chr5 150700000 150800000	225	136	0.582717798247058	0.868937623833368	0.000605877730000003	0.192616224147151	Q6	Q8	Q9
chr5 63600000 63700000	224	136	0.568285603830244	0.868937623833368	0.00063672671	0.193593808324721	Q6	Q8	Q9
chr5 64000000 64100000	234	146	0.712607547998387	1.1275162597728	0.00063672671	0.193593808324721	Q6	Q8	Q9
chr5 64100000 64200000	240	136	0.799200714499272	0.868937623833368	0.00063672671	0.193593808324721	Q6	Q8	Q9
chr10 18700000 18800000	221	139	0.524989020579801	0.946511214615197	0.000694511726	0.195424978021164	Q6	Q8	Q9
chr16 81300000 81400000	241	151	0.813632908916086	1.25680557774252	0.000730394511	0.196562080215892	Q6	Q8	Q9
chr10 12800000 12900000	221	144	0.524989020579801	1.07580053258491	0.000834258710000001	0.199853469349611	Q6	Q8	Q9
chr2 101400000 101500000	233	139	0.698175353581572	0.946511214615197	0.00090370509	0.20205418011144	Q6	Q8	Q9
chr5 60100000 60200000	229	151	0.640446575914315	1.25680557774252	0.00135044792	0.216211170781813	Q6	Q8	Q9
chr5 60300000 60400000	232	146	0.683743159164758	1.1275162597728	0.00135044792	0.216211170781813	Q6	Q8	Q9
chr5 62500000 62600000	228	144	0.626014381497501	1.07580053258491	0.00135044792	0.216211170781813	Q6	Q8	Q9
chr17 43800000 43900000	239	135	0.784768520082458	0.843079760239425	0.00136598906	0.216703659433476	Q6	Q8	Q9
chr17 44300000 44400000	241	143	0.813632908916086	1.04994266899097	0.00136598906	0.216703659433476	Q6	Q8	Q9
chr17 45000000 45100000	225	146	0.582717798247058	1.1275162597728	0.00136598906	0.216703659433476	Q6	Q8	Q9
chr17 45300000 45400000	240	143	0.799200714499272	1.04994266899097	0.00136598906	0.216703659433476	Q6	Q8	Q9
chr17 47700000 47800000	223	140	0.55385340941343	0.972369078209141	0.00136598906	0.216703659433476	Q6	Q8	Q9
chr17 48900000 49000000	240	149	0.799200714499272	1.20508985055463	0.00136598906	0.216703659433476	Q6	Q8	Q9
chr17 49400000 49500000	230	144	0.65487877033113	1.07580053258491	0.00136598906	0.216703659433476	Q6	Q8	Q9
chr17 49800000 49900000	227	148	0.611582187080687	1.17923198696069	0.00136598906	0.216703659433476	Q6	Q8	Q9
chr17 49900000 50000000	237	137	0.755904131248829	0.894795487427311	0.00136598906	0.216703659433476	Q6	Q8	Q9
chr17 5500000 5600000	236	138	0.741471936832015	0.920653351021254	0.00136918575	0.216804960467241	Q6	Q8	Q9
chr17 6100000 6200000	223	146	0.55385340941343	1.1275162597728	0.00136918575	0.216804960467241	Q6	Q8	Q9
chr17 8600000 8700000	241	146	0.813632908916086	1.1275162597728	0.00136918575	0.216804960467241	Q6	Q8	Q9
chr17 82300000 82400000	237	137	0.755904131248829	0.894795487427311	0.001376312947	0.217030816719786	Q6	Q8	Q9
chr17 69800000 69900000	235	137	0.727039742415201	0.894795487427311	0.001395571673	0.21764111326177	Q6	Q8	Q9
chr16 70500000 70600000	221	146	0.524989020579801	1.1275162597728	0.00154378355	0.222337851561806	Q6	Q8	Q9
chr10 4500000 4600000	226	141	0.597149992663873	0.998226941803084	0.00159955649	0.224105259874188	Q6	Q8	Q9
chr11 49600000 49700000	223	136	0.55385340941343	0.868937623833368	0.00162889781	0.225035067283736	Q6	Q8	Q9
chr11 49800000 49900000	237	136	0.755904131248829	0.868937623833368	0.00162889781	0.225035067283736	Q6	Q8	Q9
chr11 50000000 50100000	226	143	0.597149992663873	1.04994266899097	0.00162889781	0.225035067283736	Q6	Q8	Q9
chr11 50500000 50600000	227	135	0.611582187080687	0.843079760239425	0.00162889781	0.225035067283736	Q6	Q8	Q9
chr11 55400000 55500000	234	150	0.712607547998387	1.23094771414857	0.00162889781	0.225035067283736	Q6	Q8	Q9
chr5 4000000 4100000	222	136	0.539421214996616	0.868937623833368	0.001711333087	0.227647387771115	Q6	Q8	Q9
chr11 7000000 7100000	236	148	0.741471936832015	1.17923198696069	0.00171488856	0.22776005840556	Q6	Q8	Q9
chr11 56900000 57000000	242	141	0.828065103332901	0.998226941803084	0.001726710057	0.228134673981906	Q6	Q8	Q9
chr2 178100000 178200000	221	137	0.524989020579801	0.894795487427311	0.00185034395	0.232052551902281	Q6	Q8	Q9
chr2 179300000 179400000	237	139	0.755904131248829	0.946511214615197	0.00185034395	0.232052551902281	Q6	Q8	Q9
chr16 67700000 67800000	233	137	0.698175353581572	0.894795487427311	0.001854994151	0.23219991375736	Q6	Q8	Q9
chr11 19100000 19200000	226	143	0.597149992663873	1.04994266899097	0.001939030746	0.234862978974064	Q6	Q8	Q9
chr5 42000000 42100000	229	148	0.640446575914315	1.17923198696069	0.00200200361	0.236858548210474	Q6	Q8	Q9
chr5 42600000 42700000	237	139	0.755904131248829	0.946511214615197	0.00200200361	0.236858548210474	Q6	Q8	Q9
chr10 91800000 91900000	236	135	0.741471936832015	0.843079760239425	0.002110412968	0.240293970486389	Q6	Q8	Q9
chr11 37600000 37700000	242	144	0.828065103332901	1.07580053258491	0.002212141594	0.243517684696176	Q6	Q8	Q9
chr11 38900000 39000000	229	141	0.640446575914315	0.998226941803084	0.002212141594	0.243517684696176	Q6	Q8	Q9
chr11 39400000 39500000	234	140	0.712607547998387	0.972369078209141	0.002212141594	0.243517684696176	Q6	Q8	Q9
chr11 39800000 39900000	223	145	0.55385340941343	1.10165839617886	0.002212141594	0.243517684696176	Q6	Q8	Q9
chr10 99300000 99400000	229	146	0.640446575914315	1.1275162597728	0.00224486386	0.244554632092681	Q6	Q8	Q9
chr10 99800000 99900000	240	135	0.799200714499272	0.843079760239425	0.00224486386	0.244554632092681	Q6	Q8	Q9
chr2 160400000 160500000	241	140	0.813632908916086	0.972369078209141	0.00224988451	0.244713733236417	Q6	Q8	Q9
chr2 161800000 161900000	236	136	0.741471936832015	0.868937623833368	0.00224988451	0.244713733236417	Q6	Q8	Q9
chr2 162600000 162700000	235	139	0.727039742415201	0.946511214615197	0.00224988451	0.244713733236417	Q6	Q8	Q9
chr2 170000000 170100000	229	137	0.640446575914315	0.894795487427311	0.00224988451	0.244713733236417	Q6	Q8	Q9
