chr	enhancer_starts	enhancer_ends	gene	DAY0_H3K27ac	DAY4_H3K27ac	DAY0_H3K4me1	DAY4_H3K4me1	H3K27ac_FC	H3K4me3_FC	fragMEAN	log2FoldChange	padj
chr3	54419700	54421700	Postn	15	28	19	25	1.86666666666667	1.31578947368421	21.75	-1.40733046794917	3.24478344867476e-237
chr3	81376900	81378900	Pdgfc	17	28	13	29	1.64705882352941	2.23076923076923	21.75	-0.329122427038385	3.41554690743448e-14
chr4	86439000	86441000	Saxo1	22	22	14	29	0	2.07142857142857	21.75	1.13308294601251	NA
chr5	118421600	118423600	Med13l	17	18	27	25	1.05882352941176	-1.08	21.75	-0.515232317286961	5.68120284417247e-31
chr5	135892100	135896100	Hspb1	20	13	23	31	-1.53846153846154	1.34782608695652	21.75	0.855642043372356	0.577574781840982
chr5	146675600	146680600	Usp12	20	15	28	24	-1.33333333333333	-1.16666666666667	21.75	0.168998591871193	0.00050933904953855
chr12	9978000	9980000	Nt5c1b	20	21	21	25	1.05	1.19047619047619	21.75	-1.07701487562337	0.309307829469486
chr12	70627900	70629900	Tmx1	18	15	32	22	-1.2	-1.45454545454545	21.75	0.356776819005803	6.71877876363248e-12
chr13	113621600	113623600	Snx18	16	28	21	22	1.75	1.04761904761905	21.75	-0.668402186115629	4.66315091076998e-53
chr18	5401200	5403200	Zfp438	18	32	18	19	1.77777777777778	1.05555555555556	21.75	-0.0824089740430542	0.607222253488992
chr19	36129400	36131400	Ankrd1	32	21	15	19	-1.52380952380952	1.26666666666667	21.75	-3.22524558222638	1.36534162264737e-112
chr19	36533200	36536800	Hectd2	18	11	30	28	-1.63636363636364	-1.07142857142857	21.75	1.32956927325901	2.10242182176618e-39
chr1	60648000	60651200	Cd28	13	17	20	36	1.30769230769231	1.8	21.5	1.78519651311865	0.0139500100748119
chr2	83672300	83674300	Zc3h15	18	13	31	24	-1.38461538461538	-1.29166666666667	21.5	0.0327546630243476	0.566530421082149
chr7	67502400	67504400	Lrrc28	28	20	12	26	-1.4	2.16666666666667	21.5	0.530080105969495	4.4842915578454e-11
chr7	81197400	81199400	Pde8a	28	19	17	22	-1.47368421052632	1.29411764705882	21.5	0.407208833306541	7.35289089020086e-50
chr7	115408000	115410000	Sox6	25	22	15	24	-1.13636363636364	1.6	21.5	0.163444399729243	0.100450113993667
chr7	127179700	127181700	Cd2bp2	18	25	13	30	1.38888888888889	2.30769230769231	21.5	0.0456301006273817	0.399797323914948
chr11	5508900	5512800	Xbp1	24	15	20	27	-1.6	1.35	21.5	1.32011127952912	4.50939506790641e-244
chr11	87006400	87008400	Ypel2	18	15	22	31	-1.2	1.40909090909091	21.5	0.309554830959532	3.96518630975269e-07
chr11	95246400	95248400	Tac4	17	29	14	26	1.70588235294118	1.85714285714286	21.5	1.96125042705246	0.0885665037790235
chr11	105284900	105286900	Mrc2	12	17	24	33	1.41666666666667	1.375	21.5	-0.216557515990434	0.000158711605760362
chr13	51330900	51334000	S1pr3	19	20	23	24	1.05263157894737	1.04347826086957	21.5	3.56747860232361	0.00551930395365005
chr15	59153400	59155400	Mtss1	21	15	23	27	-1.4	1.17391304347826	21.5	-0.393575043142213	1.36825325603273e-08
chr15	96743000	96745200	Slc38a2	25	22	15	24	-1.13636363636364	1.6	21.5	0.485254417304118	3.38898124384836e-46
chr1	120082900	120084900	Tmem37	28	13	17	27	-2.15384615384615	1.58823529411765	21.25	0.0560841566658964	0.867930288997015
chr2	83713700	83715700	Itgav	29	22	21	13	-1.31818181818182	-1.61538461538462	21.25	-0.436362119495054	1.93556491250066e-41
chr2	102294200	102296200	Trim44	15	13	28	29	-1.15384615384615	1.03571428571429	21.25	-0.0650721585659249	0.0758342269726529
chr2	117570100	117572100	Rasgrp1	11	17	28	29	1.54545454545455	1.03571428571429	21.25	1.45342122745176	0.189324453467158
chr2	153609000	153613900	Commd7	21	12	23	29	-1.75	1.26086956521739	21.25	-0.0959757746984832	0.127655852547559
chr3	145896800	145900600	Bcl10	18	14	23	30	-1.28571428571429	1.30434782608696	21.25	-0.129644807349678	0.010909485866625
chr5	65722800	65726500	Pds5a	37	26	10	12	-1.42307692307692	1.2	21.25	-0.186891866458598	6.192745591476e-06
chr5	103386700	103388700	Ptpn13	17	26	19	23	1.52941176470588	1.21052631578947	21.25	0.482777410390168	7.15817523262916e-40
chr5	122547000	122549800	Ift81	20	17	25	23	-1.17647058823529	-1.08695652173913	21.25	-0.405910344490612	3.6660752726581e-08
chr6	144944000	144947600	Bcat1	23	19	17	26	-1.21052631578947	1.52941176470588	21.25	0.355610107526824	1.03824243667038e-08
chr11	105523300	105527100	Tanc2	17	11	31	26	-1.54545454545455	-1.19230769230769	21.25	0.122859181511957	0.416271890724196
chr13	34675300	34677300	Pxdc1	21	26	17	21	1.23809523809524	1.23529411764706	21.25	1.61240944857355	8.78299177085262e-99
chr15	34045600	34047600	Mtdh	30	14	18	23	-2.14285714285714	1.27777777777778	21.25	0.569421434150883	1.3593798804025e-38
chr16	87246000	87248000	N6amt1	41	27	11	6	-1.51851851851852	-1.83333333333333	21.25	0.0049419923898582	0.939298749473649
chr18	5815400	5817400	Zeb1	18	18	17	32	0	1.88235294117647	21.25	-0.50888431738639	0.00287604016377372
chr1	75337400	75340200	Dnpep	18	13	25	28	-1.38461538461538	1.12	21	0.339630069202908	2.73357519322745e-08
chr1	155121800	155123800	Mr1	28	19	11	26	-1.47368421052632	2.36363636363636	21	0.378812140510748	2.28465546852904e-10
chr2	73048600	73050800	Sp3os	16	31	16	21	1.9375	1.3125	21	-0.626090320407586	1.30478421487497e-06
chr2	84783400	84785800	Serping1	17	16	19	32	-1.0625	1.68421052631579	21	3.11031132001273	0.0144924346394636
chr4	13408200	13412200	Runx1t1	23	19	23	19	-1.21052631578947	-1.21052631578947	21	-1.573953524005	3.34135270650964e-47
chr4	122890400	122892400	Cap1	31	12	17	24	-2.58333333333333	1.41176470588235	21	0.252180674413161	1.62253931344289e-24
chr4	135300500	135302500	Srrm1	24	23	10	27	-1.04347826086957	2.7	21	-0.278927306921345	6.81716504511943e-09
chr6	72260100	72262100	Atoh8	16	14	24	30	-1.14285714285714	1.25	21	-1.25252285442499	1.08216344359851e-31
chr8	70000000	70003300	Gatad2a	24	20	18	22	-1.2	1.22222222222222	21	-0.231753261980007	6.89752694847202e-07
chr9	32560900	32564000	Fli1	18	15	21	30	-1.2	1.42857142857143	21	0.614323135573078	3.50780644131138e-09
chr12	55436800	55441100	Psma6	20	14	29	21	-1.42857142857143	-1.38095238095238	21	-0.101416471403943	0.029688165837011
chr13	83481100	83483100	Mef2c	13	18	19	34	1.38461538461538	1.78947368421053	21	2.37346077753287	0
chr16	29754400	29756400	Opa1	15	17	25	27	1.13333333333333	1.08	21	0.112181828746228	0.0238405712140947
chr17	29730200	29732800	Ccdc167	16	15	28	25	-1.06666666666667	-1.12	21	0.473822533650484	1.22184873424791e-07
chr18	34957700	34959700	Hspa9	19	24	21	20	1.26315789473684	-1.05	21	-0.389108868095122	1.69683335842303e-08
chr19	37346200	37349200	Ide	12	16	25	31	1.33333333333333	1.24	21	-0.0465209014570714	0.418832866650261
chr1	90550800	90554100	Cops8	18	20	15	30	1.11111111111111	2	20.75	-0.0120734731121197	0.917146487563814
chr1	90896100	90898100	Mlph	18	16	19	30	-1.125	1.57894736842105	20.75	1.87507305151955	2.37174328718994e-09
chr1	165587682	165591400	Mpzl1	19	16	24	24	-1.1875	0	20.75	-0.079585574627647	0.0652419594718304
chr1	191852800	191857000	Nek2	23	12	28	20	-1.91666666666667	-1.4	20.75	-1.45557001875164	6.2006604858594e-63
chr2	36223500	36225500	Ptgs1	15	24	23	21	1.6	-1.0952380952381	20.75	2.34440083992688	0
chr2	51904100	51906100	Rbm43	23	23	8	29	0	3.625	20.75	-0.536517806241642	3.93099407110083e-15
chr2	152722700	152726700	Id1	17	15	26	25	-1.13333333333333	-1.04	20.75	-0.700135159992569	2.42754220287974e-06
chr2	166733900	166737100	Prex1	15	17	15	36	1.13333333333333	2.4	20.75	9.67472741884106	1.02012031784276e-99
chr2	168613400	168615800	Nfatc2	16	20	28	19	1.25	-1.47368421052632	20.75	-0.629673329043685	0.00712179622848767
chr3	54489600	54491600	Postn	19	18	22	24	-1.05555555555556	1.09090909090909	20.75	-1.40733046794917	3.24478344867476e-237
chr3	101129000	101131000	Ptgfrn	19	8	25	31	-2.375	1.24	20.75	1.34039195323419	2.25534846783643e-103
chr5	107023800	107026400	Cdc7	14	12	31	26	-1.16666666666667	-1.19230769230769	20.75	-0.990449397781848	6.27055062094329e-18
chr6	137177900	137180700	Rerg	14	21	17	31	1.5	1.82352941176471	20.75	2.08830151061998	1.47538315452229e-176
chr7	36971300	36974800	Tshz3	16	19	19	29	1.1875	1.52631578947368	20.75	-0.0212886765562017	0.835625980215793
chr7	99518500	99520500	Arrb1	16	13	22	32	-1.23076923076923	1.45454545454545	20.75	0.201320653768736	0.0709723824009858
chr9	107304338	107306600	Cish	29	15	23	16	-1.93333333333333	-1.4375	20.75	-0.235030625168335	0.169182083872433
chr9	121674500	121678500	Vipr1	15	21	18	29	1.4	1.61111111111111	20.75	5.53422259689324	8.74147913531083e-07
chr11	21398400	21400800	Ugp2	10	23	28	22	2.3	-1.27272727272727	20.75	-0.204725957774233	5.79589772604314e-08
chr11	101850500	101852500	Meox1	26	16	22	19	-1.625	-1.15789473684211	20.75	-1.25404712294608	0.069422355744831
chr12	32139900	32143300	Pik3cg	27	9	23	24	-3	1.04347826086957	20.75	NA	NA
chr12	33008100	33010100	Sypl	25	23	11	24	-1.08695652173913	2.18181818181818	20.75	0.104998785593878	0.0215491350512609
chr12	73478700	73480700	Tmem30b	16	25	25	17	1.5625	-1.47058823529412	20.75	1.11115666901181	NA
chr13	34682600	34684600	Pxdc1	21	18	23	21	-1.16666666666667	-1.0952380952381	20.75	1.61240944857355	8.78299177085262e-99
chr13	91430600	91432600	Ssbp2	33	26	8	16	-1.26923076923077	2	20.75	-0.724228832748883	1.14805264201224e-23
chr15	83054800	83060500	Nfam1	18	14	19	32	-1.28571428571429	1.68421052631579	20.75	0.751185280633723	0.501530952696562
chr15	98033100	98036200	Senp1	14	6	33	30	-2.33333333333333	-1.1	20.75	-0.508155027409048	1.04388235273508e-17
chr16	37675500	37677500	Ndufb4	31	28	14	10	-1.10714285714286	-1.4	20.75	0.224473996275422	0.0890600030194027
chr1	36456700	36458700	Lman2l	16	12	18	36	-1.33333333333333	2	20.5	0.176600611405039	0.00434064162860326
chr2	32506900	32510800	Fam102a	21	13	25	23	-1.61538461538462	-1.08695652173913	20.5	3.72369521753516	0
chr2	35486200	35488200	Ggta1	15	13	32	22	-1.15384615384615	-1.45454545454545	20.5	-0.386313835746344	1.05864367420813e-10
chr2	75714500	75717700	Nfe2l2	19	16	26	21	-1.1875	-1.23809523809524	20.5	-0.000853016119851498	0.988853943193187
chr4	40798400	40800400	Smu1	17	21	22	22	1.23529411764706	0	20.5	0.042394882548254	0.581080053630056
chr6	34547700	34549700	Cald1	26	12	15	29	-2.16666666666667	1.93333333333333	20.5	-0.909125243415865	2.13794260230618e-208
chr6	37641300	37644900	Akr1d1	19	19	26	18	0	-1.44444444444444	20.5	1.35018710063275	0.646008596668913
chr6	72077500	72079500	St3gal5	17	20	28	17	1.17647058823529	-1.64705882352941	20.5	0.408559587140926	4.62874892803999e-26
chr7	80438200	80440200	Blm	32	16	17	17	-2	0	20.5	-0.827076638120974	4.49650172049053e-09
chr8	35413000	35415000	Ppp1r3b	26	17	19	20	-1.52941176470588	1.05263157894737	20.5	0.457393506262168	1.67972032699982e-07
chr8	107863600	107868200	Zfhx3	10	30	18	24	3	1.33333333333333	20.5	-0.568331479033066	1.31276179716601e-14
chr8	128679300	128681300	Itgb1	18	29	17	18	1.61111111111111	1.05882352941176	20.5	0.136735501724337	4.83727767043452e-09
chr9	78512200	78514400	Eef1a1	15	19	20	28	1.26666666666667	1.4	20.5	0.20087751158551	6.58011913901606e-07
chr10	17527500	17529500	Cited2	25	13	23	21	-1.92307692307692	-1.0952380952381	20.5	-0.915135084496605	2.70272630114653e-42
chr10	103730700	103732700	Slc6a15	7	19	22	34	2.71428571428571	1.54545454545455	20.5	1.87965188871502	0.325473182976836
chr11	95537900	95539900	Nxph3	16	8	24	34	-2	1.41666666666667	20.5	0.469087250694157	0.656059181515182
chr15	77905800	77908600	Txn2	30	18	14	20	-1.66666666666667	1.42857142857143	20.5	-0.0237586329880791	0.606852785666623
chr18	5808100	5810100	Zeb1	22	21	17	22	-1.04761904761905	1.29411764705882	20.5	-0.50888431738639	0.00287604016377372
chr1	60850400	60852400	Ctla4	19	10	23	29	-1.9	1.26086956521739	20.25	NA	NA
chr1	156760200	156763200	Fam20b	13	21	16	31	1.61538461538462	1.9375	20.25	0.0697207775583852	0.0248424638696695
chr2	19702300	19705400	Otud1	9	11	27	34	1.22222222222222	1.25925925925926	20.25	0.579790599623395	9.95352171835151e-16
chr2	102904900	102906900	Cd44	15	19	26	21	1.26666666666667	-1.23809523809524	20.25	-0.723566492446289	2.00329971738511e-145
chr3	55585900	55590800	Dclk1	27	12	21	21	-2.25	0	20.25	-1.29100612593188	1.65632655120559e-142
chr3	103472000	103474000	Syt6	25	22	12	22	-1.13636363636364	1.83333333333333	20.25	3.83263967461758	0.0111778096280546
chr3	107806900	107808900	Csf1	20	14	23	24	-1.42857142857143	1.04347826086957	20.25	-0.863718695328682	6.70442738668815e-36
chr4	150268600	150270600	Rere	29	18	12	22	-1.61111111111111	1.83333333333333	20.25	-0.51445333754356	2.7002561194462e-16
chr5	74146600	74150000	Rasl11b	12	13	23	33	1.08333333333333	1.43478260869565	20.25	-0.674019844776619	1.15462289938231e-05
chr8	35356100	35358100	Ppp1r3b	18	15	13	35	-1.2	2.69230769230769	20.25	0.457393506262168	1.67972032699982e-07
chr8	78740600	78743400	Slc10a7	26	9	25	21	-2.88888888888889	-1.19047619047619	20.25	-0.103344321420958	0.768008708077751
chr8	109470900	109475800	Pmfbp1	12	19	26	24	1.58333333333333	-1.08333333333333	20.25	-0.331491249668706	NA
chr9	35410400	35414300	Cdon	14	19	32	16	1.35714285714286	-2	20.25	-1.285677529862	1.47523215151003e-151
chr9	57971900	57973900	Cyp11a1	26	8	19	28	-3.25	1.47368421052632	20.25	1.73495244925673	0.331107305266933
chr11	8680300	8682300	Tns3	18	16	14	33	-1.125	2.35714285714286	20.25	-0.807456019276827	1.364157152241e-83
chr11	11922400	11924400	Grb10	21	17	26	17	-1.23529411764706	-1.52941176470588	20.25	-0.474013252860973	4.35128691996561e-79
chr15	36959400	36961400	Zfp706	23	21	18	19	-1.0952380952381	1.05555555555556	20.25	-0.489034283854612	2.83973529382434e-08
chr19	10173300	10175300	Fads1	12	23	28	18	1.91666666666667	-1.55555555555556	20.25	-0.142373923740728	2.16438135971732e-06
chr1	90979800	90981800	Rab17	13	21	25	21	1.61538461538462	-1.19047619047619	20	2.39461735654896	0.278257008543374
chr2	69128400	69130400	Nostrin	16	23	14	27	1.4375	1.92857142857143	20	0.995218187476757	4.04982700968004e-17
chr2	93131500	93133500	Trp53i11	21	10	19	30	-2.1	1.57894736842105	20	1.66298267553567	0.602143888214198
chr3	121735500	121737500	F3	17	25	16	22	1.47058823529412	1.375	20	-0.677562387781931	5.80661109757066e-30
chr4	106824800	106827800	Acot11	31	19	17	13	-1.63157894736842	-1.30769230769231	20	1.49960853984382	3.0537183722384e-77
chr5	36725800	36727800	Bloc1s4	13	17	23	27	1.30769230769231	1.17391304347826	20	0.0168250279229249	0.887111870835148
chr7	144958000	144960000	Ccnd1	11	22	29	18	2	-1.61111111111111	20	0.394145879239174	2.67746702338897e-43
chr9	67019400	67021800	Tpm1	19	12	28	21	-1.58333333333333	-1.33333333333333	20	-1.06692382621358	5.01471379203474e-284
chr9	123466800	123469600	Limd1	18	14	31	17	-1.28571428571429	-1.82352941176471	20	1.00516163192804	1.17258695708145e-88
chr10	77449500	77451500	Adarb1	14	11	24	31	-1.27272727272727	1.29166666666667	20	0.380707310162513	1.51095498168101e-06
chr11	8715000	8718300	Tns3	14	20	25	21	1.42857142857143	-1.19047619047619	20	-0.807456019276827	1.364157152241e-83
chr11	76896200	76898600	Tmigd1	11	14	27	28	1.27272727272727	1.03703703703704	20	1.11116986148538	NA
chr11	79700700	79702700	Mir193a	19	28	15	18	1.47368421052632	1.2	20	NA	NA
chr12	8797200	8800400	Sdc1	6	20	26	28	3.33333333333333	1.07692307692308	20	-0.217637233279122	6.72983381487671e-11
chr16	90543900	90545900	Hunk	11	13	23	33	1.18181818181818	1.43478260869565	20	-1.61294536052295	6.24095021605075e-137
chr17	79372300	79374300	Cdc42ep3	24	9	21	26	-2.66666666666667	1.23809523809524	20	1.30428672941616	3.11151772007935e-146
chr18	56686400	56689600	Lmnb1	9	21	18	32	2.33333333333333	1.77777777777778	20	-1.81941390321606	6.01925473968723e-272
chr1	119387700	119392200	Inhbb	18	16	24	21	-1.125	-1.14285714285714	19.75	-0.275589090263436	0.0325869848277501
chr2	170151200	170153200	Zfp217	29	23	10	17	-1.26086956521739	1.7	19.75	-0.376011106139295	2.44984232261525e-05
chr3	97310800	97313500	Bcl9	23	10	22	24	-2.3	1.09090909090909	19.75	-0.420543648431498	7.75513277363071e-08
chr4	53798700	53800700	Tal2	4	28	16	31	7	1.9375	19.75	0.859430126433289	0.322460282291871
chr4	56237700	56239700	Actl7b	13	23	15	28	1.76923076923077	1.86666666666667	19.75	NA	NA
chr6	85162400	85167400	Emx1	27	17	22	13	-1.58823529411765	-1.69230769230769	19.75	-0.301207968704774	NA
chr7	145288800	145290800	Tpcn2	14	19	19	27	1.35714285714286	1.42105263157895	19.75	0.197631232263324	0.0115452897483027
chr10	93909400	93913400	Metap2	12	20	21	26	1.66666666666667	1.23809523809524	19.75	0.123883091536215	0.0133178910089726
chr11	102334400	102336400	Ubtf	19	18	16	26	-1.05555555555556	1.625	19.75	-0.23600485050845	1.85748588103295e-15
chr13	54255200	54259100	Hrh2	28	9	20	22	-3.11111111111111	1.1	19.75	-1.820301337115	0.127714610455918
chr13	99669200	99672200	Map1b	11	23	23	22	2.09090909090909	-1.04545454545455	19.75	0.79161538522306	3.05500299256542e-102
chr15	74966500	74968500	Ly6e	25	28	9	17	1.12	1.88888888888889	19.75	-0.787043915970093	1.68583087509011e-65
chr15	96969600	96971600	Slc38a4	20	23	17	19	1.15	1.11764705882353	19.75	-0.0984775787261647	0.696612009895734
chr17	74879000	74881600	Ttc27	28	8	24	19	-3.5	-1.26315789473684	19.75	-0.159669807526156	0.00971917563975725
chr18	61609000	61611000	Bvht	33	17	11	18	-1.94117647058824	1.63636363636364	19.75	-0.306905209201132	0.108597281595826
chr1	157447900	157451800	Cryzl2	24	17	11	26	-1.41176470588235	2.36363636363636	19.5	0.841231734425223	0.0459080876470798
chr2	27644200	27646200	Rxra	10	14	25	29	1.4	1.16	19.5	-0.327517877002571	1.92392221752377e-31
chr2	122575200	122577200	Gatm	23	15	22	18	-1.53333333333333	-1.22222222222222	19.5	-1.99451983368004	1.5011629414292e-11
chr3	102669400	102671400	Tspan2	19	15	19	25	-1.26666666666667	1.31578947368421	19.5	-0.305348311615345	0.0857484785390346
chr4	41053900	41057600	Aqp7	14	16	31	17	1.14285714285714	-1.82352941176471	19.5	-0.276000325570376	0.684827301889204
chr5	64356000	64358000	Tbc1d1	21	20	17	20	-1.05	1.17647058823529	19.5	-0.542445339889894	1.70613915754529e-17
chr7	125518600	125524700	Nsmce1	24	16	23	15	-1.5	-1.53333333333333	19.5	-0.443694336968162	4.16681852968446e-12
chr7	145039600	145041600	Ccnd1	14	20	14	30	1.42857142857143	2.14285714285714	19.5	0.394145879239174	2.67746702338897e-43
chr8	127913800	127916800	Pard3	17	9	27	25	-1.88888888888889	-1.08	19.5	-0.371557221918267	3.86316908969017e-20
chr9	96757800	96759800	Zbtb38	29	29	6	14	0	2.33333333333333	19.5	0.116501775168724	0.0828597344656467
chr11	120316600	120318600	Actg1	37	25	4	12	-1.48	3	19.5	-0.512915509970005	2.41192415902441e-94
chr12	109838600	109840800	Mirg	13	13	26	26	0	0	19.5	0.782216034824834	0.560117040999046
chr13	48782000	48784000	Phf2	18	20	17	23	1.11111111111111	1.35294117647059	19.5	-0.114760670798937	0.00329376685605424
chr13	82891900	82893900	Mir3961	19	22	25	12	1.15789473684211	-2.08333333333333	19.5	NA	NA
chr16	15259000	15261000	Ube2v2	13	18	28	19	1.38461538461538	-1.47368421052632	19.5	0.193189769909938	0.00840465856608729
chr17	35542400	35544400	Cdsn	17	20	21	20	1.17647058823529	-1.05	19.5	-1.00905112092833	7.86786939244171e-08
chr17	56486900	56488900	Ptprs	23	29	10	16	1.26086956521739	1.6	19.5	0.707456166343279	3.52634733919051e-53
chr1	92375600	92377600	Ndufa10	22	10	14	31	-2.2	2.21428571428571	19.25	-0.0204965617034276	0.745288476556717
chr1	125662100	125664100	Gpr39	21	15	12	29	-1.4	2.41666666666667	19.25	-1.63139063727524	NA
chr2	26034800	26039400	Ubac1	25	19	22	11	-1.31578947368421	-2	19.25	-0.373360612018807	1.06894888721421e-16
chr2	32463700	32465700	Slc25a25	22	15	18	22	-1.46666666666667	1.22222222222222	19.25	0.797083416729649	3.04447498376997e-38
chr4	33585500	33590300	Mir8118	29	14	17	17	-2.07142857142857	0	19.25	NA	NA
chr4	118330700	118332700	Hyi	15	17	22	23	1.13333333333333	1.04545454545455	19.25	-0.952143866899671	9.63820108227139e-18
chr6	37861800	37865200	Trim24	15	11	25	26	-1.36363636363636	1.04	19.25	0.111224783516865	0.0133995653572201
chr6	97275400	97280300	Lmod3	13	11	27	26	-1.18181818181818	-1.03846153846154	19.25	3.20437508004656	0.00270958124068804
chr6	117806700	117808700	Zfp637	24	9	19	25	-2.66666666666667	1.31578947368421	19.25	0.123942869041074	0.0444390364375869
chr7	34594800	34597800	Kctd15	25	14	15	23	-1.78571428571429	1.53333333333333	19.25	0.431440829344058	5.76244734643741e-18
chr9	72753100	72755100	Nedd4	21	10	17	29	-2.1	1.70588235294118	19.25	-0.344552050221075	1.44986798022624e-90
chr11	78433300	78437000	Slc13a2	16	15	23	23	-1.06666666666667	0	19.25	1.11116310560845	NA
chr11	78886100	78888100	Nos2	21	17	21	18	-1.23529411764706	-1.16666666666667	19.25	2.52310398915186	0.0392457260440426
chr11	99135800	99137800	Ccr7	8	23	21	25	2.875	1.19047619047619	19.25	-0.967588499553983	0.581296948720489
chr11	100163300	100166300	Krt19	19	12	28	18	-1.58333333333333	-1.55555555555556	19.25	-0.302591739759073	NA
chr12	86871300	86873300	Irf2bpl	22	20	15	20	-1.1	1.33333333333333	19.25	-0.313831264871997	8.24799706973644e-06
chr13	97422300	97424300	Lncenc1	14	19	20	24	1.35714285714286	1.2	19.25	-0.306833703727927	NA
chr17	26360200	26365200	Neurl1b	14	17	26	20	1.21428571428571	-1.3	19.25	-1.53343544881657	1.38740354255073e-22
chr2	84831100	84833100	Timm10	17	18	16	25	1.05882352941176	1.5625	19	-0.0945355583620886	0.326263330142175
chr2	167382800	167384800	B4galt5	30	19	9	18	-1.57894736842105	2	19	0.162251771844404	0.00123494386560738
chr3	127847900	127852400	Ap1ar	11	15	22	28	1.36363636363636	1.27272727272727	19	-0.353635977818148	1.90323752139536e-09
chr4	126277700	126279700	Col8a2	13	20	20	23	1.53846153846154	1.15	19	-0.694169602388111	1.21545267646144e-74
chr5	30994400	30996400	Tcf23	18	12	18	28	-1.5	1.55555555555556	19	4.00613883356088	4.11160713600389e-93
chr7	19931500	19934700	Igsf23	19	11	24	22	-1.72727272727273	-1.09090909090909	19	-1.5835723304727	0.402491715898808
chr11	94225400	94227400	Tob1	25	20	6	25	-1.25	4.16666666666667	19	0.652541178644493	7.65108906991264e-62
chr11	117173300	117176600	Sec14l1	20	11	24	21	-1.81818181818182	-1.14285714285714	19	0.220198569590226	1.22184873424791e-07
chr11	119513400	119517600	Endov	29	17	7	23	-1.70588235294118	3.28571428571429	19	0.0798350737415762	0.212532614463468
chr12	30159700	30161700	Tpo	29	18	13	16	-1.61111111111111	1.23076923076923	19	-2.42672299007488	NA
chr13	49178100	49180100	Ninj1	20	15	17	24	-1.33333333333333	1.41176470588235	19	0.152921371699042	0.0482882070837339
chr13	51324200	51326200	S1pr3	21	11	29	15	-1.90909090909091	-1.93333333333333	19	3.56747860232361	0.00551930395365005
chr13	64400600	64403400	Cdk20	18	10	27	21	-1.8	-1.28571428571429	19	-0.126434217554548	0.582134138609367
chr14	32072500	32074500	Dph3	13	15	29	19	1.15384615384615	-1.52631578947368	19	0.355501496275255	0.000497105993443576
chr15	93609700	93611700	Prickle1	14	27	10	25	1.92857142857143	2.5	19	0.847430998826894	9.88500264957558e-55
chr15	103382200	103385000	Itga5	16	8	21	31	-2	1.47619047619048	19	0.0398862232685267	0.29271251665637
chr17	14720100	14722100	Thbs2	17	20	19	20	1.17647058823529	1.05263157894737	19	-1.01681749693163	3.89398558489675e-164
chr17	29793600	29797200	Mdga1	12	17	22	25	1.41666666666667	1.13636363636364	19	0.837239247108751	9.65709101104846e-24
chr17	45168700	45170700	Cdc5l	15	16	12	33	1.06666666666667	2.75	19	0.00766689920671547	0.867930288997015
chr1	40178600	40180600	Il1r1	21	8	27	19	-2.625	-1.42105263157895	18.75	-0.469548344007257	1.02932080071654e-14
chr2	7525800	7527800	Celf2	13	12	26	24	-1.08333333333333	-1.08333333333333	18.75	-1.75861036609131	3.31912842316134e-17
chr2	92844200	92846200	Syt13	14	9	26	26	-1.55555555555556	0	18.75	-2.65980144691003	1.6318218797281e-12
chr2	170205500	170207500	Zfp217	22	18	12	23	-1.22222222222222	1.91666666666667	18.75	-0.376011106139295	2.44984232261525e-05
chr5	123827100	123829100	Kntc1	31	11	18	15	-2.81818181818182	-1.2	18.75	-1.86341938512967	1.52374717418089e-64
chr5	134351800	134353800	Gtf2ird1	19	15	11	30	-1.26666666666667	2.72727272727273	18.75	0.644660783830875	1.1769692382973e-19
chr7	38211300	38213300	Plekhf1	17	15	25	18	-1.13333333333333	-1.38888888888889	18.75	-0.12662584174051	0.047014607158808
chr7	112203800	112205800	Mical2	16	6	28	25	-2.66666666666667	-1.12	18.75	0.662451413855204	8.42925122283863e-42
chr8	35358500	35360500	Ppp1r3b	23	9	21	22	-2.55555555555556	1.04761904761905	18.75	0.457393506262168	1.67972032699982e-07
chr9	62615200	62617200	Itga11	20	15	18	22	-1.33333333333333	1.22222222222222	18.75	0.436488143085456	9.01168258844888e-20
chr11	51938100	51940100	Cdkn2aipnl	21	10	18	26	-2.1	1.44444444444444	18.75	-0.42547041243728	1.39060672899618e-15
chr11	95610100	95612100	Ngfr	11	21	13	30	1.90909090909091	2.30769230769231	18.75	-1.16274972640648	5.03275399744658e-11
chr11	96017200	96019200	Gip	27	12	19	17	-2.25	-1.11764705882353	18.75	NA	NA
chr11	108885100	108887100	Axin2	15	15	28	17	0	-1.64705882352941	18.75	0.220307427410199	0.0145086591481422
chr14	69821600	69825300	Pebp4	27	12	18	18	-2.25	0	18.75	0.389843925471921	NA
chr15	97088700	97090700	Slc38a4	17	16	21	21	-1.0625	0	18.75	-0.0984775787261647	0.696612009895734
chr16	37752400	37755200	Fstl1	25	13	20	17	-1.92307692307692	-1.17647058823529	18.75	-1.4333809836778	0
chr17	79458700	79460700	Cdc42ep3	14	14	26	21	0	-1.23809523809524	18.75	1.30428672941616	3.11151772007935e-146
chr19	5821203	5823203	Malat1	25	13	18	19	-1.92307692307692	1.05555555555556	18.75	0.298987049201841	0.402206591084975
chr19	17320400	17322600	Gcnt1	17	15	19	24	-1.13333333333333	1.26315789473684	18.75	0.435667366606323	3.1923495004266e-15
